tags: active-korean unit-2-greetings-introductions


## 어휘

[sound:직업.mp3]	직업	métier, profession, travail
[sound:직업이_뭐예요.mp3]	<ul>직업이 뭐예요?</ul>	<ul>Quelle est votre profession ?</ul>
[sound:요리.mp3]	요리	cuisine
[sound:연구.mp3]	연구	recherche<p class="small">(scientifique)</p>
[sound:연구원.mp3]	연구원	chercheur
[sound:사업.mp3]	사업	entreprise<hr/>affaires<p class="small">(angl. “business”)</p>
[sound:사업가.mp3]	사업가	homme d'affaires, entrepreneur
[sound:소방관.mp3]	소방관	pompier
[sound:우체부.mp3]	우체부	facteur
[sound:미용사.mp3]	미용사	coiffeur
[sound:과학.mp3]	과학	science
[sound:과학자.mp3]	과학자	scientifique, savant
[sound:기술.mp3]	기술	technique
[sound:기술자.mp3]	기술자	technicien, ingénieur
[sound:모델.mp3]	모델	mannequin<p class="small">(angl. “model”)</p>
[sound:회계.mp3]	회계	comptabilité
[sound:회계사.mp3]	회계사	comptable
[sound:주부.mp3]	주부	femme au foyer
[sound:작가.mp3]	작가<p class="small light">/ 소설가 / 시인</p>	écrivain<p class="small light">/ romancier / poète</p>
[sound:비서.mp3]	비서	secrétaire

[sound:변호사.mp3]	변호사	avocat
[sound:판사.mp3]	판사<span class="light">(님)</span>	juge
[sound:검찰.mp3]	검찰	ministère public, parquet<p class="small">(angl. “prosecution service”)</p>
[sound:검사.mp3]	검사<span class="light">(님)</span>	procureur
[sound:경찰.mp3]	경찰	police
[sound:팀장.mp3]	팀장<span class="light">(님)</span>	chef d'équipe
[sound:형사.mp3]	형사	inspecteur (de police)

[sound:주소.mp3]	주소	adresse
[sound:명함.mp3]	명함	carte de visite
[sound:우리.mp3]	우리	nous


## 숙제

[sound:학생이에요.mp3]	<ul><li>애니 씨는 학생이에요?</li><li>네, 학생이에요.</li></ul>	<ul><li>Annie, êtes-vous étudiante ?</li><li>Oui, je le suis.</li></ul>

[sound:선생님이에요.mp3]	<ul><li>마이클 씨는 선생님이에요?</li><li>아니요, 요리사예요.</li></ul>	<ul><li>Michael, êtes-vous enseignant ?</li><li>Non, je suis cuisinier.</li></ul>

[sound:회사원이에요.mp3]	<ul><li>미사코 씨는 회사원이에요?</li><li>네, 회사원이에요.</li></ul>	<ul><li>Misako, êtes-vous employée de bureau ?</li><li>Oui, je le suis.</li></ul>

[sound:연구원이에요.mp3]	<ul><li>로버트 씨는 연구원이에요?</li><li>아니요, 기자예요.</li></ul>	<ul><li>Robert, êtes-vous chercheur ?</li><li>Non, je suis journaliste.</li></ul>

[sound:의사예요.mp3]	<ul><li>양양 씨는 의사예요?</li><li>네, 의사예요.</li></ul>	<ul><li>Yangyang, êtes-vous médecin ?</li><li>Oui, je le suis.</li></ul>
