tags: active-korean unit-3-restaurant


## 어휘

[sound:뭐_드릴까요.mp3]	뭐 드릴까요?	que désirez-vous ?
[sound:여기_있어요.mp3]	여기 있어요	voilà
[sound:여기요.mp3]	여기요	excusez-moi / svp<p class="small">(pour appeler un serveur)</p>
[sound:맛있게_드세요.mp3]	맛있게 드세요	bon appétit !

[sound:목이_마르다.mp3]	목이 마르다	avoir soif<p class="small">(목: gorge, 마르다: sécher&nbsp;; litt. “avoir la gorge sèche”)</p>

[sound:앉다.mp3]	앉다 <span class="small">[안따]</span>	s'asseoir
[sound:앉으세요.mp3]	앉으세요<div class="활용"><div class="현재">앉아요</div><div class="명령법">앉으세요</div><div class="부정사">앉다</div></div>	asseyez-vous<p class="small">(s'il vous plaît)</p>

[sound:열심히_일하세요.mp3]	(열심히) 일하세요<div class="활용"><div class="현재">일해요</div><div class="명령법">일하세요</div><div class="부정사">일하다</div></div>	travaillez (dur) !<p class="small">(s'il vous plaît)</p>

[sound:라면.mp3]	라면	ramyeon<p class="small">(nouilles instantanées ; jap. “ramen”)</p><ul><li>Le ramyeon est un plat de nouilles instantanées coréen préparé en faisant bouillir un bloc de nouilles sèches précuites avec une poudre/sauce aromatisante. Le stéréotype d'un ramyeon sud-coréen est rouge et épicé, avec ou sans garniture (œuf, oignons verts hachés, piments, &hellip;)</li><li>Le ramyeon est typiquement épicé et salé. Shin Ramyun (<span class="em">신라면</span> ; 신 [<span class="em">辛</span>], litt. “épicé”) est la marque la plus vendue en Corée du Sud.</li><li>Le premier ramyeon sud-coréen a été introduit par Samyang Food (<span class="em">삼양식품</span>) en 1963 avec l'assistance technique de Myojo Foods Co. Japan, qui fournissait le matériel de fabrication. Le principal fabricant de ramyeon en Corée du Sud est aujourd'hui Nongshim (<span class="em">농심</span> [農 心], litt. “Farmer's Heart”), qui exporte beaucoup de ses produits à l'étranger.</li><li>Le rāmen (ラーメン) japonais est souvent appelé “ramyeon japonais” (<span class="em">일본라멘</span>).</li></ul>
