tags: active-korean unit-4-shopping


## 어휘

[sound:담배.mp3]	담배	cigarette, tabac
[sound:신문.mp3]	신문 <span class="small light">/ 잡지</span>	journal <span class="small light">/ revue, magazine</span>
[sound:카메라.mp3]	카메라	appareil photo<p class="small">(angl. “camera”)</p>
[sound:돈.mp3]	돈	argent (monnaie)

[sound:너무_비싸요.mp3]	너무 비싸요	c'est trop cher
[sound:좀_깎아_주세요.mp3]	좀 깎아 주세요	faites-moi un prix, svp
[sound:하나에_얼마예요.mp3]	하나에 얼마예요?	combien pour un (seul) ?
[sound:모두_얼마예요.mp3]	모두 얼마예요?	combien le tout ?

[sound:팔다.mp3]	팔다<p class="small">(&ne;&nbsp;사다)</p>	vendre<p class="small">(&ne;&nbsp;acheter)</p>
[sound:많이_파세요.mp3]	많이 파세요	pour quitter un commerçant<p class="small">(litt. “vendez beaucoup”)</p>

[sound:그루.mp3]	그루	végétation (arbres, plantes)<p class="small">(수분류사: classificateur + cardinal <span class="em">coréen</span>)</p>
[sound:송이.mp3]	송이	fleurs, grappes (d'un fruit)<p class="small">(수분류사: classificateur + cardinal <span class="em">coréen</span>)</p>
[sound:채.mp3]	채	bâtiments (maisons, &hellip;)<p class="small">(수분류사: classificateur + cardinal <span class="em">coréen</span>)</p>
[sound:척.mp3]	척	bateaux<p class="small">(수분류사: classificateur + cardinal <span class="em">coréen</span>)</p>
[sound:통.mp3]	통	lettres, messages (SMS, courriels, appels téléphoniques, &hellip;)<p class="small">(수분류사: classificateur + cardinal <span class="em">coréen</span>)</p>
[sound:인분.mp3]	인분	portions (au restaurant)<p class="small">(수분류사: classificateur + cardinal <span class="em">sino-coréen</span>)</p>


## 핵심 대화

[sound:시계가_있어요.mp3]	<ul><li>시계가 있어요?</li><li>네, 있어요.</li></ul>	<ul><li>As-tu une montre ?</li><li>Oui.</li></ul>

[sound:우산이_있어요.mp3]	<ul><li>우산이 있어요?</li><li>아니요, 없어요.</li></ul>	<ul><li>As-tu un parapluie ?</li><li>Non.</li></ul>

[sound:이거는_뭐예요.mp3]	<ul><li>이거는 뭐예요?</li><li>그거는 사전이에요.</li></ul><p class="small">(이것은 &gt; <span class="em">이거는</span> &gt; 이건</br>&nbsp;&nbsp;그것은 &gt; <span class="em">그거는</span> &gt; 그건)</p>	<ul><li>Qu'est-ce que c'est ? <span class="small light">(proche de moi)</span></li><li>C'est un dictionnaire. <span class="small light">(proche de lui)</span></li></ul>

[sound:저거는_뭐예요.mp3]	<ul><li>저거는 뭐예요?</li><li>저거는 가방이에요.</li></ul><p class="small">(저것은 &gt; <span class="em">저거는</span> &gt; 저건)</p>	<ul><li>Qu'est-ce que c'est <span class="light">(là-bas)</span> ?</li><li>C'est un sac.</li></ul>

[sound:저_책은_한국어_책이에요.mp3]	<ul><li>저 책은 한국어 책이에요?</li><li>네, 한국어 책이에요.</li></ul>	<ul><li>Ce livre là-bas est-il un livre coréen ?</li><li>Oui.</li></ul>

[sound:이_사과는_얼마예요.mp3]	<ul><li>이 사과는 얼마예요?</li><li>오백 원이에요.</li></ul>	<ul><li>Combien coûte cette pomme ?</li><li>C'est 500 wons.</li></ul>

[sound:이_사과는_하나에_얼마예요.mp3]	<ul><li>이 사과는 하나에 얼마예요?</li><li>이천 원이에요.</li></ul>	<ul><li>Combien coûte une de ces pommes ?</li><li>C'est 2 000 wons.</li></ul>


## 듣기

[sound:신문이_있어요.mp3]	<ul>신문이 있어요?</ul>	<ul>As-tu le journal ?</ul>
[sound:바지는_삼만_팔천_원이에요.mp3]	<ul>바지는 삼만 팔천 원이에요.</ul>	<ul>Le pantalon coûte 38 000 wons.</ul>
[sound:이_사전은_이만_육천_원이에요.mp3]	<ul>이 사전은 이만 육천 원이에요.</ul>	<ul>Ce dictionnaire coûte 26 000 wons.</ul>
[sound:빵은_하나에_천이백_원이에요.mp3]	<ul>빵은 하나에 천이백 원이에요.</ul>	<ul>Un pain coûte 1 200 wons.</ul>

[sound:이_치마_얼마예요.mp3]	<ul><li>아저씨, 이 치마 얼마예요?</li><li>오만 삼천 원이에요.</li><li>너무 비싸요. 좀 깎아 주세요.</li><li>오만 원 주세요.</li></ul>	<ul><li>Ajhussi, combien coûte cette jupe ?</li><li>Elle coûte 53 000 wons.</li><li>C'est trop cher. Faîtes-moi un prix, svp.</li><li>50 000 wons.</li></ul>
