tags: active-korean unit-5-daily-life


## 어휘

[sound:일상생활.mp3]	일상생활	vie quotidienne

[sound:산.mp3]	산	montagne

[sound:피자.mp3]	피자	pizza
[sound:스파게티.mp3]	스파게티	spaghetti

[sound:빨래하다.mp3]	빨래(를 )하다	faire la lessive

[sound:청소.mp3]	청소	propreté, nettoyage
[sound:빨래.mp3]	빨래	blanchisserie, lessive

[sound:복잡하다.mp3]	복잡하다	être compliqué, alambiqué, tortueux<hr/>être embouteillé, bondé
[sound:길이_복잡하다.mp3]	길이 복잡하다	y avoir un embouteillage


## 핵심 대화

[sound:지금_뭐_해요.mp3]	<ul><li>지금 뭐 해요?</li><li>밥을 먹어요.</li></ul>	<ul><li>Qu'est-ce que tu fais maintenant ?</li><li>Je mange mon repas.</li></ul>

[sound:오늘_뭐_해요.mp3]	<ul><li>오늘 뭐 해요?</li><li>친구를 만나요.</li></ul>	<ul><li>Qu'est-ce que tu fais aujourd'hui ?</li><li>Je rencontre un ami.</li></ul>

[sound:고기를_먹어요.mp3]	<ul><li>고기를 먹어요?</li><li>아니요, 안 먹어요.</li></ul>	<ul><li>Manges-tu de la viande ?</li><li>Non, je n'en mange pas.</li></ul>

[sound:김치가_맛있어요.mp3]	<ul><li>김치가 맛있어요?</li><li>네, 맛있어요.</li></ul>	<ul><li>Le kimchi est-il délicieux ?</li><li>Oui, il l'est.</li></ul>

[sound:가방이_싸요.mp3]	<ul><li>가방이 싸요?</li><li>네, 싸요.</li></ul>	<ul><li>Le sac est-il bon marché ?</li><li>Oui, il l'est.</li></ul>

[sound:오늘_학교에_가요.mp3]	<ul><li>오늘 학교에 가요?</li><li>아니요, 안 가요.</li><li>그럼 뭐 해요?</li><li>운동해요. 그리고 영화를 봐요.</li></ul>	<ul><li>Vas-tu à l'école aujourd'hui ?</li><li>Non, je n'y vais pas.</li><li>Alors que fais-tu ?</li><li>Je fais de l'exercice et je regarde un film.</li></ul>


## 추가 표현

[sound:세수하다.mp3]	세수하다	se laver (le visage)
[sound:이를_닦다.mp3]	이를 닦다	se laver les dents
[sound:버스를_타다.mp3]	버스를 타다	prendre le bus
[sound:요리하다.mp3]	요리(를 )하다<hr/>음식을 만들다	cuisiner
[sound:설거지하다.mp3]	설거지(를 )하다	faire la vaisselle
[sound:샤워하다.mp3]	샤워(를 )하다<p class="small light">/ 목욕하다</p>	prendre une douche<p class="small">(angl. “shower”)</p><p class="small light">/ prendre un bain</p>
[sound:가르치다.mp3]	가르치다	enseigner


## 듣기

[sound:여자_친구.mp3]	여자 친구	petite amie
