tags: active-korean unit-6-time


## 어휘

[sound:그제_그저께.mp3]	그제 / 그저께<p class="small">(<span class="em">그제 / 그저께</span> &lt; 어제 &lt; 오늘 &lt; 내일 &lt; 모레)</p>	avant-hier
[sound:모레.mp3]	모레<p class="small">(그제 / 그저께 &lt; 어제 &lt; 오늘 &lt; 내일 &lt; <span class="em">모레</span>)</p>	après-demain

[sound:이번_주_토요일에.mp3]	이번 주 토요일에	ce samedi
[sound:다음_주_주말에.mp3]	다음 주 주말에	le week-end prochain
[sound:다음_주_월요일에.mp3]	다음 주 월요일에	lundi prochain
[sound:매주_화요일에.mp3]	매주 화요일에<hr/>화요일마다	chaque mardi

[sound:월말.mp3]	월말	fin de mois<p class="small">(월: mois, 말: fin)</p>

[sound:올해.mp3]	올해<p class="small">(작년 &lt; <span class="em">올해</span> &lt; 내년)</p>	cette année
[sound:연말.mp3]	연말	fin d'année<p class="small">(연: année, 말: fin)</p>

[sound:십_분후.mp3]	십 분후	dans 10 minutes

[sound:휴가.mp3]	휴가 <span class="small light">/ 방학</span>	vacances, congés (salarié)<p class="small light">/ vacances (scolaires)</p>

[sound:식사.mp3]	식사	repas
[sound:식사하다.mp3]	식사하다	manger
[sound:식사하세요.mp3]	식사하세요<div class="활용"><div class="명령법">식사하세요</div><div class="부정사">식사하다</div></div>	à table !<p class="small">(litt. “mangez s'il vous plaît”)</p>

[sound:아침을_먹어요.mp3]	<ul>아침을 먹어요.</ul><hr/><ul>아침 밥을 먹어요.</ul><hr/><ul>아침 식사를 먹어요.</ul>	il petit-déjeune

[sound:힘들다.mp3]	힘들다	être dur<p class="small">(axé sur la quantité d'effort à développer, notamment physique ; utilisé quand l'objectif est réalisable dès lors que l'on fait de son mieux)</p>


[sound:요가.mp3]	요가	yoga
[sound:양고기.mp3]	양고기	(viande de) mouton, agneau
[sound:바다.mp3]	바다 <span class="small light">/ 해변</span>	mer, océan <span class="small light">/ plage</span>


## 핵심 대화

[sound:몇_시에_일어나요.mp3]	<ul><li>몇 시에 일어나요?</li><li>일곱 시에 일어나요.</li></ul>	<ul><li>À quelle heure te lèves-tu ?</li><li>Je me lève à 7h.</li></ul>

[sound:몇_시에_밥을_먹어요.mp3]	<ul><li>몇 시에 밥을 먹어요?</li><li>여덟 시쯤에 먹어요.</li></ul>	<ul><li>À quelle heure manges-tu ?</li><li>Je mange vers 8h.</li></ul>


[sound:무슨_요일에_태권도를_배워요.mp3]	<ul><li>무슨 요일에 태권도를 배워요?</li><li>월요일에 태권도를 배워요.</li></ul>	<ul><li>Quel jour apprends-tu le taekwondo ?</li><li>J'ai cours de taekwondo le lundi.</li></ul>

[sound:화요일에도_태권도를_배워요.mp3]	<ul><li>화요일에도 태권도를 배워요?</li><li>아니요, 화요일에는 태권도를 안 배워요.</li></ul>	<ul><li>As-tu aussi cours de taekwondo le mardi ?</li><li>Non, je n'ai pas cours de taekwondo le mardi.</li></ul>

[sound:내일_학교에_가요.mp3]	<ul><li>내일 학교에 가요?</li><li>나는 학교에 가지만 애니 씨는 안 가요.</li></ul>	<ul><li>Vas-tu à l'école demain ?</li><li>Moi oui mais pas Annie.</li></ul>

[sound:수요일에_뭐_해요.mp3]	<ul><li>수요일에 뭐 해요?</li><li>수요일에는 학교에 가요.</li><li>목요일에도 학교에 가요?</li><li>아니요, 수요일에는 학교에 가<span class="em">지만</span> 목요일에는 학교에 안 가요.</li></ul>	<ul><li>Qu'est-ce que tu fais le mercredi ?</li><li>Le mercredi je vais à l'école.</li><li>Vas-tu aussi à l'école le jeudi ?</li><li>Non, je vais à l'école le mercredi <span class="em">mais</span> pas le jeudi.</li></ul>


## 듣기

[sound:6시_20분에_일어나요.mp3]	<ul><li>몇 시에 일어나요?</li><li>6시 20분에 일어나요.</li></ul>	<ul><li>À quelle heure te réveilles-tu ?</li><li>Je me réveille à 6h20.</li></ul>

[sound:2시_45분에_영어를_가르쳐요.mp3]	<ul><li>몇 시에 영어를 가르쳐요?</li><li>2시 45분에 영어를 가르쳐요.</li></ul>	<ul><li>À quelle heure enseignes-tu l'anglais ?</li><li>J'enseigne l'anglais à 14h45.</li></ul>

[sound:4시_반에_친구를_만나요.mp3]	<ul><li>몇 시에 친구를 만나요?</li><li>4시 반에 친구를 만나요.</li></ul>	<ul><li>À quelle heure rencontres-tu un ami ?</li><li>Je rencontre un ami à 16h30.</li></ul>

[sound:9시_25분에_영화를_봐요.mp3]	<ul><li>몇 시에 영화를 봐요?</li><li>9시 25분에 영화를 봐요.</li></ul>	<ul><li>À quelle heure regardes-tu un film ?</li><li>Je regarde un film à 21h25.</li></ul>


[sound:나는_5시_40분에_일어나요.mp3]	<ul>나는 5시 40분에 일어나요.</ul>	<ul>Je me lève à 5h40.</ul>

