tags: active-korean unit-8-locations-directions


## 어휘

[sound:방향.mp3]	방향	direction

[sound:사이.mp3]	사이	entre
[sound:이쪽으로.mp3]	이쪽으로	par ici<p class="small">(이쪽: ce côté-ci, -(으)로: direction)</p>

[sound:제_앞에.mp3]	제 앞에<p class="small">(&ne;&nbsp;제 뒤에)</p>	devant moi<p class="small">(&ne;&nbsp;derrière moi)</p>
[sound:제_뒤에.mp3]	제 뒤에<p class="small">(&ne;&nbsp;제 앞에)</p>	derrière moi<p class="small">(&ne;&nbsp;devant moi)</p>
[sound:제_옆에.mp3]	제 옆에	à côté de moi
[sound:제_오른쪽에.mp3]	제 오른쪽에<p class="small">(&ne;&nbsp;제 왼쪽에)</p>	à ma droite<p class="small">(&ne;&nbsp;à ma gauche)</p>
[sound:제_왼쪽에.mp3]	제 왼쪽에<p class="small">(&ne;&nbsp;제 오른쪽에)</p>	à ma gauche<p class="small">(&ne;&nbsp;à ma droite)</p>

[sound:오른쪽_옆에.mp3]	오른쪽 옆에<p class="small">(&ne;&nbsp;왼쪽 옆에)</p>	du côté droit<p class="small">(&ne;&nbsp;du côté gauche)</p>
[sound:왼쪽_옆에.mp3]	왼쪽 옆에<p class="small">(&ne;&nbsp;오른쪽 옆에)</p>	du côté gauche<p class="small">(&ne;&nbsp;du côté droit)</p>

[sound:윗층.mp3]	윗층<p class="small">(&ne;&nbsp;아래층)</p>	étage au-dessus, à l'étage<p class="small">(&ne;&nbsp;étage en dessous)</p>
[sound:아래층.mp3]	아래층<p class="small">(&ne;&nbsp;윗층)</p>	étage en dessous, en bas<p class="small">(&ne;&nbsp;étage au-dessus)</p>

[sound:으로.mp3]	-(으)로	direction vers un endroit
[sound:앞으로_가세요.mp3]	앞으로 가세요	avancez (tout droit)
[sound:오른쪽으로_가세요.mp3]	오른쪽으로 가세요	allez à droite
[sound:왼쪽으로_가세요.mp3]	왼쪽으로 가세요	allez à gauche

[sound:세탁소.mp3]	세탁소	blanchisserie, teinturier, pressing
[sound:세탁실.mp3]	세탁실	laverie, buanderie
[sound:호텔.mp3]	호텔	hôtel
[sound:화장.mp3]	화장	maquillage
[sound:서울대학교.mp3]	서울대학교	Université nationale de Séoul<p class="small">(angl. “Seoul National University” ; abr. SNU)</p><ul><li>une des 3 <span class="em">SKY</span>, acronyme désignant les trois meilleures universités de Corée du Sud, les deux autres étant l'Université de Corée (<span class="em">고려대학교</span>, Korea University) et l'université Yonsei (<span class="em">연세대학교</span>, Yonsei University)</li></ul>
[sound:지하철역.mp3]	지하철역	station de métro
[sound:사무실.mp3]	사무실	bureau<p class="small">(pièce)</p>
[sound:제주도.mp3]	제주(특별자치도)<hr/><img src="제주도.svg">	île de Jeju<p class="small">(province autonome spéciale)</p><ul class="small"><li>île volcanique située à 85 km au sud de la péninsule</li></ul>
[sound:인천.mp3]	인천(광역시)<hr/><img src="인천.svg">	Incheon<p class="small">(ville métropolitaine)</p><ul class="small"><li>ville portuaire située à 50 km à l'ouest de la capitale Séoul, sur la mer Jaune</li><li>3<sup>ème</sup> ville la plus peuplée de Corée (après Séoul et Busan)</li><li>2<sup>ème</sup> plus grand port maritime de Corée (après celui de Busan)</li><li>1<sup>er</sup> aéroport de la Corée du Sud : 인천국제공항, aéroport (공항) international (국제) d'Incheon</li></ul>

[sound:옷장.mp3]	옷장 <span class="small">[옫짱]</span><p class="small light">/ 벽장</p>	garde-robe, penderie<p class="small light">/ placard</p>
[sound:냉장.mp3]	냉장	réfrigération
[sound:냉장고.mp3]	냉장고	réfrigérateur
[sound:소파.mp3]	소파	canapé<p class="small">(angl. “sofa”)</p>
[sound:식탁.mp3]	식탁 <span class="small light">/ 탁자</span>	table à manger <span class="small light">/ table</span>
[sound:탁자.mp3]	탁자 <span class="small light">/ 식탁</span>	table <span class="small light">/ table à manger</span>
[sound:칠판.mp3]	칠판	tableau<p class="small">(pour écrire)</p>
[sound:상자.mp3]	상자	boîte, caisse

[sound:야채.mp3]	야채	légume
[sound:아이스크림.mp3]	아이스크림	glace, crème glacée<p class="small">(angl. “ice cream”)</p>
[sound:미터.mp3]	미터	mètre<p class="small">(unité de distance ; angl. “meter”)</p>
[sound:고양이.mp3]	고양이	chat
[sound:꽃병.mp3]	꽃병	vase<p class="small">(꽃: fleur, 병: bouteille)</p>

[sound:건너편.mp3]	건너편 <span class="small light">/ 맞은편</span>	en face de<p class="small">(de l'autre côté <span class="small light">/ en vis-à-vis</span>)</p>
[sound:맞은편.mp3]	맞은편 <span class="small light">/ 건너편</span>	en face de<p class="small">(en vis-à-vis <span class="small light">/ de l'autre côté</span>)</p>
[sound:사거리.mp3]	사거리	intersection, carrefour<p class="small">(사: 4, 거리: rue)</p>

[sound:건너다.mp3]	건너다	traverser
