tags: active-korean unit-9-phone-call


## 어휘

[sound:전화번호가_몇_번이에요.mp3]	<ul>전화번호가 몇 번이에요?</ul><hr/><ul>전화번호 좀 가르쳐 주세요.</ul><hr/><ul>전화번호 좀 알려 주세요.</ul>	<ul>Quel est votre numéro de téléphone, svp ?</ul>

[sound:전화를_끊다.mp3]	전화를 끊다	raccrocher<p class="small">(au téléphone)</p>
[sound:전화를_받다.mp3]	전화를 받다	recevoir un appel

[sound:메시지.mp3]	메시지	message
[sound:메시지를_남기다.mp3]	메시지를 남기다	laisser un message

[sound:이메일_주소.mp3]	이메일 주소	adresse email
[sound:이메일을_보내다.mp3]	이메일을 보내다	envoyer un email

[sound:편지.mp3]	편지<p class="small light">/ 엽서 / 소포 / 우표</p>	lettre<p class="small light">/ carte postale / colis / timbre</p>

[sound:그런데요.mp3]	<span class="small light">(네,)</span> 그런데요	<span class="small light">(oui,)</span> c'est ça / tout à fait
[sound:전데요.mp3]	<span class="small light">(네,)</span> 전데요	<span class="small light">(oui,)</span> c'est moi
[sound:아닌데요.mp3]	아닌데요	<span class="small light">(non,)</span> ce n'est pas ça

[sound:가위.mp3]	가위	ciseaux
[sound:바위.mp3]	바위	pierre
[sound:가위바위보.mp3]	가위바위보	pierre/feuille/ciseaux<p class="small">(가위: ciseaux, 바위: pierre)</p>
[sound:아직.mp3]	아직 <span class="small light">&ne;&nbsp;벌써</span>	(pas) encore, toujours <span class="small light">&ne;&nbsp;déjà</span><ul><li>au sens de “still” pas “always”</li></ul>

[sound:알리다.mp3]	알리다	informer, annoncer
[sound:끊다.mp3]	끊다 <span class="small">[끈타]</span>	cesser, interrompre, raccrocher
[sound:남기다.mp3]	남기다	laisser

[sound:준비.mp3]	준비	préparation
[sound:준비하다.mp3]	준비하다	préparer

[sound:회의.mp3]	회의	réunion
[sound:회의하다.mp3]	회의하다	être en réunion

[sound:열다.mp3]	열다<p class="small">(&ne;&nbsp;닫다)</p>	ouvrir<p class="small">(&ne;&nbsp;fermer)</p>
[sound:창문을_열다.mp3]	창문을 열다	ouvrir une fenêtre

[sound:문을_닫다.mp3]	문을 닫다	fermer une porte

[sound:그리다.mp3]	<span class="light">(그림을)</span> 그리다	dessiner


## 핵심 대화

[sound:이지요_지요.mp3]	N-(이)지요 / N-(이)죠<hr/>V-지요 / V-죠	n'est-ce pas ?<ul>expression :<li>soit d'une conviction forte du locuteur</li><li>soit d'une référence à un fait déjà connu du locuteur et de son interlocuteur</li></ul>

[sound:거기_애니_씨_집이지요.mp3]	<ul><li>여보세요? 거기 애니 씨 집이지요?</li><li>네, 그런데요. 실례지만 누구세요?</li></ul>	<ul><li>Allô, je suis bien chez Annie n'est-ce pas ?</li><li>Oui, c'est ça. Excusez-moi mais qui est à l'appareil ?</li></ul>


