tags: active-korean unit-1-family


## 어휘

[sound:친가.mp3]	친가 <span class="small light">/ 외가</span>	famille paternelle<p class="small">(branche paternelle de la famille)</p><ul><li>le préfixe <span class="em">친-</span> est utilisé pour spécifier qu'un membre de la famille est du côté paternel</li><li>le préfixe 친- n'est jamais utilisé quand on s'adresse directement à la personne</li></ul>
[sound:외가.mp3]	외가 <span class="small light">/ 친가</span>	famille maternelle<p class="small">(branche maternelle de la famille)</p><ul><li>le préfixe <span class="em">외-</span> est utilisé pour spécifier qu'un membre de la famille est du côté maternel</li><li>le préfixe 외- n'est jamais utilisé quand on s'adresse directement à la personne</li></ul>

[sound:배우자.mp3]	배우자 <span class="small light">/ 부부</span>	époux, conjoint <span class="small light">/ couple</span><p class="small">(angl. “spouse”)</p>
[sound:부부.mp3]	부부 <span class="small light">/ 배우자</span>	couple <span class="small light">/ époux, conjoint</span>
[sound:아내_부인.mp3]	아내<hr/>부인 <span class="small light">/ 남편</span><hr/>와이프	femme <span class="small light">/ mari</span><ul><li><span class="em">아내</span> est exclusivement réservé pour désigner sa propre femme</li><li><span class="em">부인</span>, plus formel que 아내, est généralement utilisé pour désigner la femme de quelqu'un d'autre</li><li><span class="em">와이프</span> (angl. “wife”) est très populaire parmi les jeunes générations</li></ul>
[sound:여보_당신.mp3]	여보<hr/>당신	chéri(e)<p class="small">(entre époux ; angl. “honey”)</p><ul><li>여보 est la forme abrégée de 여기 보세요, regarde ici</li><li>당신 est un terme vieilli, utilisé par conséquent par les couples d'un certain âge ; en dehors de ce contexte, il est généralement considéré comme provocateur et est utilisé pour amorcer une querelle : afin d'éviter tout malentendu, il est préférable d'éviter son utilisation</li></ul>

[sound:증조부모님.mp3]	증조부모<span class="light">(님)</span>	arrière-grands-parents
[sound:증조할아버지_증조부.mp3]	증조할아버지<p class="small light">/ 증조할머니</p><hr/>증조부<span class="light">(님)</span><p class="small light">/ 증조모 / 증조부모</p><p class="small">(sino-coréen, formel)</p>	arrière-grand-père<p class="small light">/ arrière-grand-mère</p><p class="small light">/ arrière-grands-parents</p>
[sound:증조할머니_증조모.mp3]	증조할머니<p class="small light">/ 증조할아버지</p><hr/>증조모<span class="light">(님)</span><p class="small light">/ 증조부 / 증조부모</p><p class="small">(sino-coréen, formel)</p>	arrière-grand-mère<p class="small light">/ arrière-grand-père</p><p class="small light">/ arrière-grands-parents</p>

[sound:조부모님.mp3]	조부모<span class="light">(님)</span>	grands-parents

[sound:손주.mp3]	<span class="light">(외)</span>손주<p class="small light">/ 손자 / 손녀</p>	petits-enfants<p class="small light">/ petit-fils / petite-fille</p>
[sound:손자.mp3]	<span class="light">(외)</span>손자<p class="small light">/ 손녀 / 손주</p>	petit-fils<p class="small light">/ petite-fille / petits-enfants</p>
