tags: active-korean unit-2-transportation


## 어휘

[sound:교통.mp3]	교통	transport
[sound:교통수단.mp3]	교통수단	moyen / mode de transport<p class="small">(교통: transport, 수단: moyen, mode)</p>
[sound:운동장.mp3]	운동장	terrain de sport, stade
[sound:고속.mp3]	고속	grande vitesse, express
[sound:운전_면허증.mp3]	운전 면허증	permis de conduire
[sound:안전.mp3]	안전	sécurité, sûreté
[sound:안전_벨트.mp3]	안전 벨트<p class="small light">/ 매다</p>	ceinture de sécurité<p class="small light">/ porter, attacher</p>
[sound:안전_벨트를_매다.mp3]	안전 벨트를 매다	attacher sa ceinture de sécurité
[sound:먼저.mp3]	먼저	d'abord

[sound:공항.mp3]	공항	aéroport
[sound:국제.mp3]	국제 <span class="small">[국쩨]</span><p class="small">(&ne;&nbsp;국내)</p>	international<p class="small">(&ne;&nbsp;national, intérieur)</p>
[sound:국내.mp3]	국내 <span class="small">[궁내]</span><p class="small">(&ne;&nbsp;국제)</p>	national, intérieur<p class="small">(angl. “domestic” ; &ne;&nbsp;international)</p>
[sound:국제선.mp3]	국제선	vol international<p class="small">(국제: international)</p>
[sound:국내선.mp3]	국내선	vol intérieur<p class="small">(국내: national, intérieur)</p>

[sound:갈아타다.mp3]	갈아타다	changer, avoir une correspondance
[sound:표현하다.mp3]	표현하다	exprimer

[sound:버스_정류장.mp3]	버스 정류장 <span class="small">[정뉴장]</span>	arrêt de bus
[sound:택시_정류장.mp3]	택시 정류장 <span class="small">[정뉴장]</span>	station de taxi
[sound:이번_정류장에서_내리세요.mp3]	<ul>이번 정류장에서 내리세요.</ul>	<ul>Descendez à cet arrêt.</ul><p class="small">(dans un bus)</p>
[sound:출구.mp3]	출구<p class="small">(&ne;&nbsp;입구)</p>	sortie<p class="small">(&ne;&nbsp;entrée)</p>
[sound:입구.mp3]	입구 <span class="small">[입꾸]</span><p class="small">(&ne;&nbsp;출구)</p>	entrée<p class="small">(&ne;&nbsp;sortie)</p>
[sound:출입문.mp3]	출입문	porte (automatique)<p class="small">(출구: sortie, 입구: entrée, 문: porte)</p>
## https://www.youtube.com/watch?v=FfQMwoFwNHg
#	출입문 닫습니다.	The door is closing. // subway
#	<ul>다음역은 강남역입니다. 내리실 문은 오른쪽입니다.</ul>	<ul>Prochain arrêt Gangnam. La sortie s'effectuera à droite.</ul>
#	<ul>이번 역은 합정, 합정 역입니다. 내리실 문은 왼쪽입니다.</ul>	<ul>Prochain arrêt Hapjeong, Hapjeong prochain arrêt. La sortie s'effectuera à gauche.</ul>

[sound:대사.mp3]	대사	ambassadeur
[sound:대사관.mp3]	대사관	ambassade
[sound:도시.mp3]	도시	ville
[sound:지갑.mp3]	지갑	portefeuille
[sound:지갑에_돈이_없어요.mp3]	<ul>지갑에 돈이 없어요.</ul>	<ul>Je n'ai pas d'argent dans mon portefeuille.</ul>



## 핵심 대화

[sound:뭘_타요.mp3]	<ul><li>뭘 타요?</li><li>지하철을 타요.</li></ul>	<ul><li>Qu'est-ce que tu prends comme moyen de transport ?</li><li>Je prends le métro.</li></ul>

[sound:남대문시장에_어떻게_가요.mp3]	<ul><li>남대문시장에 어떻게 가요?</li><li>학교 앞에서 버스를 타세요.</li></ul>	<ul><li>Comment vais-je au marché de Namdaemun ?</li><li>Prends le bus devant l'école.</li></ul>

[sound:어디에서_내려요.mp3]	<ul><li>어디에서 내려요?</li><li>회현역에서 내리세요.</li></ul>	<ul><li>Où est-ce que je descends ?</li><li>Descends à la station Hoehyeon.</li></ul>

[sound:시청역에서_내리세요.mp3]	<ul><li>어디에서 내려요?</li><li>시청역에서 내리세요.</li></ul>	<ul><li>Où est-ce que je descends ?</li><li>Descends à la station Hôtel de ville.</li></ul>

[sound:어디에서_갈아타요.mp3]	<ul><li>어디에서 갈아타요?</li><li>교대역에서 3호선으로 갈아타세요.</li></ul>	<ul><li>Où est la correspondance ?</li><li>À la station “Seoul National University of Education” prends la correspondance avec la ligne <span style="color:#FE5B10">&#10104;</span>.</li></ul>

[sound:집에_어떻게_가요.mp3]	<ul><li>집에 어떻게 가요?</li><li>버스를 타고 가요.</li></ul>	<ul><li>Comment vas-tu chez toi ?</li><li>J'y vais en bus.</li></ul>

[sound:몇_번_버스를_타야_돼요.mp3]	<ul><li>몇 번 버스를 타야 돼요?</li><li>5 번 버스를 타야 돼요.</li></ul>	<ul><li>Quel bus dois-je prendre ?</li><li>Tu dois prendre le bus n°5.</li></ul>

[sound:책을_읽어야_돼요.mp3]	<ul><li>오늘 뭐 해요?</li><li>책을 읽어야 돼요.</li></ul>	<ul><li>Qu'est-ce que tu fais aujourd'hui ?</li><li>Je dois lire un livre.</li></ul>

[sound:몇_호선을_타야_돼요.mp3]	<ul><li>남대문시장에 어떻게 가요?</li><li>지하철을 타세요.</li><li>몇 호선을 타야 돼요?</li><li>2호선을 타세요. 그리고 사당역에서 4호선으로 갈아타세요.</li></ul>	<ul><li>Comment vais-je au marché de Namdaemun ?</li><li>Prends le métro.</li><li>Quelle ligne dois-je prendre ?</li><li>Prends la ligne <span style="color:#33A23D">&#10103;</span> et à la station Sadang prends la correspondance avec la ligne <span style="color:#32A1C8">&#10105;</span>.</li></ul>

[sound:어디에서_내려야_돼요.mp3]	<ul><li>어디에서 내려야 돼요?</li><li>회현역에서 내려야 돼요.</li><li>여기에서 얼마나 걸려요?</li><li>40분쯤 걸려요.</li></ul>	<ul><li>Où dois-je descendre ?</li><li>Tu dois descendre à la station Hoehyeon.</li><li>À partir d'ici cela prend combien de temps ?</li><li>Cela prend une quarantaine de minutes.</li></ul>



## 추가 표현

[sound:세우다.mp3]	세우다	arrêter, installer, garer
[sound:학교_앞에서_세워_주세요.mp3]	<ul>학교 앞에서 세워 주세요.</ul>	<ul>Veuillez vous arrêter devant l'école.</ul>
[sound:학교_앞에서_내려_주세요.mp3]	<ul>학교 앞에서 내려 주세요.</ul>	<ul>Veuillez me déposer devant l'école.</ul>
[sound:똑바로_가_주세요.mp3]	<ul>똑바로 가 주세요.</ul>	<ul>Veuillez aller tout droit.</ul>
[sound:우회전해_주세요.mp3]	<ul>우회전해 주세요.</ul>	<ul>Veuillez tourner à droite.</ul>
[sound:좌회전해_주세요.mp3]	<ul>좌회전해 주세요.</ul>	<ul>Veuillez tourner à gauche.</ul>

[sound:회전.mp3]	회전	rotation, tour
[sound:회전하다.mp3]	회전하다<p class="small">(우회전하다 &ne;&nbsp;좌회전하다)</p>	tourner, faire pivoter<p class="small">(à droite &ne;&nbsp;à gauche)</p>
[sound:우파.mp3]	우파<p class="small">(&ne;&nbsp;좌파)</p>	aile droite<p class="small">(politique ; &ne;&nbsp;aile gauche)</p>
[sound:좌파.mp3]	좌파<p class="small">(&ne;&nbsp;우파)</p>	aile gauche<p class="small">(politique ; &ne;&nbsp;aile droite)</p>

[sound:고속전철.mp3]	고속전철	train à grande vitesse (KTX, 케이티엑스)<p class="small">(고속: grande vitesse, 전철: métro)</p><ul><li>Le Korea Train Express (abrégé en KTX) est le système de transport ferroviaire à grande vitesse de la Corée du Sud.</li><li>Le réseau de lignes à grande vitesse est parcouru par le train à grande vitesse du même nom, qui est un dérivé du TGV français, ainsi que par un nouveau train, le KTX-II, de conception sud-coréenne. Leur vitesse maximale sur le réseau coréen est de 300 km/h.</li></ul>



## 듣기

[sound:지하철_4호선을_타고_명동역에서_내리세요.mp3]	<ul><li>명동에 어떻게 가야 돼요?</li><li>지하철 4호선을 타고 명동역에서 내리세요.</li></ul>	<ul><li>Comment dois-je aller à Myeong-dong ?</li><li>Prends la ligne <span style="color:#32A1C8">&#10105;</span> du métro et descends à la station Myeong-dong.</li></ul>

