tags: active-korean unit-4-post-office


## 어휘

[sound:도구.mp3]	도구	outil
[sound:조건.mp3]	조건	condition, critère
[sound:소포.mp3]	소포<p class="small light">/ 편지 / 엽서</p>	colis, paquet<p class="small light">/ lettre / carte postale</p>
[sound:엽서.mp3]	엽서<p class="small light">/ 편지 / 소포 / 우표</p>	carte postale<p class="small light">/ lettre / colis / timbre</p>
[sound:부치다.mp3]	부치다	envoyer, poster, expédier<p class="small">(toujours quelque chose, jamais quelqu'un)</p><ul><li>보내다 a un sens plus large que 부치다</li></ul>
[sound:미끄럽다.mp3]	미끄럽다	être glissant
[sound:돌아가다_돌아오다.mp3]	돌아가다<hr/>돌아오다	retourner, revenir

[sound:베트남.mp3]	베트남	Vietnam<p class="small">(국가: pays)</p>
[sound:말레이시아.mp3]	말레이시아	Malaisie<p class="small">(국가: pays)</p>
[sound:브라질.mp3]	브라질	Brésil<p class="small">(국가: pays)</p>

[sound:한복.mp3]	한복	hanbok<p class="small">(vêtement traditionnel coréen)</p>
[sound:포크.mp3]	포크	fourchette<p class="small">(angl. “fork”)</p>
[sound:눈사람.mp3]	눈사람	bonhomme de neige
[sound:직원.mp3]	직원	employé, personnel<p class="small">(angl. “staff”)</p>



## 핵심 대화

[sound:캐나다로_보낼_거예요.mp3]	<ul><li>어디로 보내실 거예요?</li><li>캐나다로 보낼 거예요.</li></ul>	<ul><li>Où allez-vous l'envoyer ?</li><li>Je vais l'envoyer au Canada.</li></ul>

[sound:비행기로_보내_주세요.mp3]	<ul><li>뭐로 보내실 거예요?</li><li>비행기로 보내 주세요.</li></ul>	<ul><li>Comment allez-vous l'envoyer ?</li><li>Veuillez l'envoyer par avion, svp.</li></ul>

[sound:책이_들었어요.mp3]	<ul><li>안에 뭐가 들었어요?</li><li>책이 들었어요.</li></ul>	<ul><li>Qu'est-ce qu'il y a à l'intérieur ?</li><li>Dedans il y a un livre.</li></ul>
# [sound:시계가_들었어요.mp3]	<ul><li>안에 뭐가 들었어요?</li><li>시계가 들었어요.</li></ul>	<ul><li>Qu'est-ce qu'il y a à l'intérieur ?</li><li>Dedans il y a une montre.</li></ul>
# [sound:우산이_들었어요.mp3]	<ul><li>안에 뭐가 들었어요?</li><li>우산이 들었어요.</li></ul>	<ul><li>Qu'est-ce qu'il y a à l'intérieur ?</li><li>Dedans il y a un parapluie.</li></ul>
# [sound:모자가_들었어요.mp3]	<ul><li>안에 뭐가 들었어요?</li><li>모자가 들었어요.</li></ul>	<ul><li>Qu'est-ce qu'il y a à l'intérieur ?</li><li>Dedans il y a un chapeau.</li></ul>

[sound:비행기로_보내면_일주일쯤_걸려요.mp3]	<ul><li>비행기로 보내면 얼마나 걸려요?</li><li>비행기로 보내면 일주일쯤 걸려요.</li></ul>	<ul><li>Combien de temps cela prend-il par avion ?</li><li>Il faut environ une semaine pour l'envoyer par avion.</li></ul>

[sound:날씨가_좋으면_산에_가요.mp3]	<ul>날씨가 좋으면 산에 가요.</ul>	<ul>Si le temps le permet, je vais à la montagne.</ul>
[sound:날씨가_나쁘면_집에서_쉬어요.mp3]	<ul>날씨가 나쁘면 집에서 쉬어요.</ul>	<ul>Quand le temps est mauvais, je me repose à la maison.</ul>
[sound:날씨가_추우면_커피를_마셔요.mp3]	<ul>날씨가 추우면 커피를 마셔요.</ul>	<ul>Je bois du café quand il fait froid.</ul>
[sound:비가_오면_집에서_공부해요.mp3]	<ul>비가 오면 집에서 공부해요.</ul>	<ul>J'étudie à la maison quand il pleut.</ul>
[sound:눈이_오면_눈사람을_만들어요.mp3]	<ul>눈이 오면 눈사람을 만들어요.</ul>	<ul>Quand il neige, je fais un bonhomme de neige.</ul>

[sound:동생한테_보낼_거예요.mp3]	<ul><li>누구한테 이 소포를 보낼 거예요?</li><li>동생한테 보낼 거예요.</li></ul>	<ul><li>À qui vas-tu envoyer ce colis ?</li><li>Je vais l'envoyer à ma petite sœur.</li></ul>

[sound:친구한테_꽃을_줘요.mp3]	<ul>친구한테 꽃을 줘요.</ul>	<ul>Je donne des fleurs à mon amie.</ul>
[sound:동생한테_사과를_줘요.mp3]	<ul>동생한테 사과를 줘요.</ul>	<ul>Je donne une pomme à mon petit frère.</ul>
[sound:언니한테_소포를_부쳐요.mp3]	<ul>언니한테 소포를 부쳐요.</ul>	<ul>Je poste un colis à ma grande sœur.</ul>
[sound:딸한테_아이스크림을_줘요.mp3]	<ul>딸한테 아이스크림을 줘요.</ul>	<ul>Je donne une glace à ma fille.</ul>
[sound:형한테_편지를_보내요.mp3]	<ul>형한테 편지를 보내요.</ul>	<ul>J'envoie une lettre à mon grand frère.</ul>


[sound:미국으로_보낼_거예요.mp3]	<ul><li>어디로 보내실 거예요?</li><li>미국으로 보낼 거예요.</li><li>안에 뭐가 들었어요?</li><li>책하고 옷이 들었어요. 미국까지 얼마나 걸려요?</li><li>비행기로 보내면 일주일쯤 걸려요. 그리고 배로 보내면 한 달쯤 걸려요.</li><li>그럼 비행기로 보내 주세요. 얼마예요?</li><li>이만 팔천 원이에요.</li><li>여기 있어요.</li></ul>	<ul><li>Où allez-vous l'envoyer ?</li><li>Je vais l'envoyer aux États-Unis.</li><li>Qu'est-ce qu'il y a à l'intérieur ?</li><li>Dedans il y a des livres et des vêtements. Combien de temps cela prendra-t-il jusqu'aux États-Unis ?</li><li>Il faut environ une semaine pour l'envoyer par avion. Et si vous l'envoyez par bateau, cela prend environ un mois.</li><li>Alors veuillez l'envoyer par avion, svp. C'est combien ?</li><li>Cela fait 28 000 wons.</li><li>Voici.</li></ul>



## 듣기

[sound:비가_오면_집에서_텔레비전을_볼_거예요.mp3]	<ul>비가 오면 집에서 텔레비전을 볼 거예요.</ul>	<ul>S'il pleut, je regarderai la télévision chez moi.</ul>
[sound:날씨가_나쁘면_집에서_잘_거예요.mp3]	<ul>날씨가 나쁘면 집에서 잘 거예요.</ul>	<ul>S'il fait mauvais, je dormirai chez moi.</ul>
[sound:돈이_없으면_집에서_밥을_먹을_거예요.mp3]	<ul>돈이 없으면 집에서 밥을 먹을 거예요.</ul>	<ul>Si je n'ai pas d'argent, je mangerai à la maison.</ul>
[sound:약속이_없으면_집에서_컴퓨터를_할_거예요.mp3]	<ul>약속이 없으면 집에서 컴퓨터를 할 거예요.</ul>	<ul>Si je n'ai pas de rendez-vous, je ferai de l'ordinateur à la maison.</ul>

[sound:이_소포를_부치고_싶어요.mp3]	<ul><li>이 소포를 부치고 싶어요.</li><li>어디로 보내실 거예요?</li><li>중국으로요.</li><li>안에 뭐가 들었어요?</li><li>옷이 들었어요. 중국까지 얼마나 걸려요?</li><li>비행기로 보내면 일주일쯤 걸려요. 그리고 배로 보내면 한 달쯤 걸려요.</li><li>비행기로 좀 부쳐 주세요. 얼마예요?</li><li>잠깐만요. 18,000원이에요.</li><li>여기 있어요.</li></ul>	<ul><li>Je veux expédier ce colis.</li><li>Où allez-vous l'envoyer ?</li><li>En Chine.</li><li>Qu'est-ce qu'il y a à l'intérieur ?</li><li>Dedans il y a des vêtements. Combien de temps cela prendra-t-il jusqu'en Chine ?</li><li>Il faut environ une semaine pour l'envoyer par avion. Et si vous l'envoyez par bateau, cela prend environ un mois.</li><li>Veuillez l'expédier par avion, svp. C'est combien ?</li><li>Un instant. Cela fait 18,000 wons.</li><li>Voici.</li></ul>

[sound:동생_생일이라서_동생한테_보낼_거예요.mp3]	<ul><li>라주 씨, 이거<span class="light">(는)</span> 뭐예요?</li><li>옷이에요. 동생 생일이라서 동생한테 보낼 거예요.</li><li>그래요? 동생 생일이 언제예요?</li><li>1월 15일이에요. 시간이 없어서 빨리 소포를 보내야 돼요.</li><li>괜찮아요. 비행기로 보내면 동생이 15일쯤 받을 거예요.</li></ul>	<ul><li>Raju, qu'est-ce que c'est ?</li><li>Ce sont des vêtements. Je vais les envoyer à ma sœur parce que c'est son anniversaire.</li><li>Vraiment ? Quand est l'anniversaire de ta sœur ?</li><li>C'est le 15 janvier. Comme je n'ai pas le temps, je dois envoyer un colis rapidement.</li><li>Ça va aller. Si tu l'envoies par avion, ta sœur le recevra autour du 15.</li></ul>



## 추가 표현

[sound:보내는_사람.mp3]	보내는 사람<p class="small">(&ne;&nbsp;받는 사람)</p>	expéditeur<p class="small">(angl. “addresser” ; &ne;&nbsp;destinataire)</p>
[sound:받는_사람.mp3]	받는 사람<p class="small">(&ne;&nbsp;보내는 사람)</p>	destinataire<p class="small">(angl. “addressee” ; &ne;&nbsp;expéditeur)</p>
[sound:우편번호.mp3]	우편번호	code postal<p class="small">(angl. “zip code”)</p>
[sound:우표.mp3]	우표<p class="small light">/ 편지 / 엽서 / 소포</p>	timbre (postal)<p class="small light">/ lettre / carte postale / colis</p>
[sound:붙이다.mp3]	붙이다 <span class="small">[부치다]</span>	coller



## workbook

[sound:중국_친구한테_소포를_보내야_돼서요.mp3]	<ul><li>미영씨, 어디에 가요?</li><li>우체국에 가요. 중국 친구한테 소포를 보내야 돼서요.</li><li>중국 친구요?</li><li>네, 다음 주 수요일이 친구 생일이라서 빨리 보내야 돼요.</li><li>뭘 보낼 거예요?</li><li>친구가 한국 드라마를 좋아해서 한국 드라마 DVD를 두 개 보낼 거예요.</li></ul>	<ul><li>Miyoung, où vas-tu ?</li><li>Je vais au bureau de poste. Je dois envoyer un colis à un ami chinois.</li><li>Un ami chinois ?</li><li>Oui, comme c'est mercredi prochain l'anniversaire de mon ami, je dois l'envoyer rapidement.</li><li>Qu'est-ce que tu vas envoyer ?</li><li>Comme mon ami aime les dramas coréens, je vais lui en envoyer deux DVDs.</li></ul>

[sound:이거_프랑수에_좀_보내_주세요.mp3]	<ul><li>이거<span class="light">(를)</span> 프랑수에 좀 보내 주세요.</li><li><span class="light">(직원)</span> 뭐로 보내실 거예요?</li><li>비행기로 보내 주세요. 비행기로 보내면 얼마나 걸려요?</li><li><span class="light">(직원)</span> 일주일쯤 걸려요. 안에 뭐가 들었어요?</li><li>옷이 들었어요. 요금은 얼마예요?</li><li><span class="light">(직원)</span> 만 이천 원이예요.</li><li>여기 있어요.</li></ul>	<ul><li>Veuillez envoyer ceci en France, svp.</li><li><span class="light">(employé)</span> Comment allez-vous l'envoyer ?</li><li>Veuillez l'envoyer par avion, svp. Combien de temps cela prend-il par avion ?</li><li><span class="light">(employé)</span> Cela prend environ une semaine. Qu'est-ce qu'il y a à l'intérieur ?</li><li>Dedans il y a des vêtements. C'est combien ?</li><li><span class="light">(employé)</span> Cela fait 12,000 wons.</li><li>Voici.</li></ul>
