tags: active-korean unit-5-reservations


## 어휘

[sound:예약.mp3]	예약	réservation
[sound:예약하다.mp3]	예약하다	réserver

[sound:예매.mp3]	예매	réservation d'un billet
[sound:예매하다.mp3]	예매하다	réserver un billet

[sound:투표.mp3]	투표	vote, scrutin
[sound:투표하다.mp3]	투표하다	voter

[sound:환불.mp3]	환불	remboursement
[sound:환불하다.mp3]	환불하다	rembourser
[sound:환불해_주세요.mp3]	환불해 주세요<div class="활용"><div class="부정사">환불하다</div><div class="명령법">환불해 주세요</div></div>	veuillez me rembourser svp

[sound:담배를_피우다.mp3]	<span class="light">담배(를)</span> 피우다	fumer (une cigarette)
[sound:바람을_피우다.mp3]	바람을 피우다	tromper (quelqu'un)

## 바람 figuratively means excitement/enthusiasm derived from its literal meaning, wind. It can be either positive or negative but it is always negative when it comes to relationship.
## this 바람 is a noun which means a mind state when someone's mind wanders or he or she is excited. and 피우다 is a verb which has a meaning that do something negative or forbidden like 말썽을 피우다, 게으름을 피우다. so, 바람을 피우다 originally means that do something forbidden that's exciting and makes your mind wander.

[sound:희망.mp3]	희망 <span class="small">[히망]</span>	espoir

[sound:자리.mp3]	자리	siège, place
[sound:기차표.mp3]	기차표	billet de train<p class="small">(기차: train, 표: billet)</p>
[sound:왕복.mp3]	왕복 <span class="small light">/ 편도</span>	aller-retour<p class="small light">/ aller simple</p>
[sound:편도.mp3]	편도 <span class="small light">/ 왕복</span>	aller simple<p class="small light">/ aller-retour</p>
[sound:8시_표로_바꿔_주세요.mp3]	8시 표로 바꿔 주세요	veuillez changer pour un billet à 8h

[sound:일_인실.mp3]	일 인실 (1인실)	chambre individuelle
[sound:이_인실.mp3]	이 인실 (2인실)	chambre double
[sound:침대_방.mp3]	침대 방	chambre avec lit
[sound:온돌방.mp3]	온돌방	chambre chauffée au sol

[sound:절.mp3]	절	temple bouddhiste
[sound:별.mp3]	별	étoile
[sound:뮤지컬.mp3]	뮤지컬	comédie musicale<p class="small">(angl. “music-hall”)</p>

[sound:동안.mp3]	동안	pendant<ul><table id="underlined-header"><tr><th>durées</th><th>cardinal coréen</th><th>cardinal sino-coréen</th></tr><tr><td>heures</td><td>한 시간</td><td/></tr><tr><td>jours</td><td>하루</td><td>일 일</td></tr><tr><td>semaines</td><td/><td>일 주(일)</td></tr><tr><td>mois</td><td>한 달</td><td>일 개월</td></tr><tr><td>années</td><td/><td>일 년</td></tr></table></ul>



## 핵심 대화

[sound:지금_비행기_표_예약할_수_있어요.mp3]	<ul><li>지금 비행기 표<span class="light">(를)</span> 예약할 수 있어요?</li><li>네, 하실 수 있어요.</li></ul>	<ul><li>Puis-je réserver un billet d'avion maintenant ?</li><li>Oui vous le pouvez.</li></ul>

[sound:테니스를_칠_수_있어요.mp3]	<ul><li>테니스를 칠 수 있어요?</li><li>아니요, 못 쳐요.</li></ul>	<ul><li>Pouvez-vous jouer au tennis ?</li><li>Non, je ne peux pas.</li></ul>

[sound:열_시_비행기에_자리_있어요.mp3]	<ul><li>열 시 비행기에 자리<span class="light">(가)</span> 있어요?</li><li>네, 있는데요.</li></ul>	<ul><li>Avez-vous une place dans l'avion de dix heures ?</li><li>Oui, bien sûr.</li></ul>

[sound:7시_기차표가_없는데요.mp3]	<ul><li>7시 기차표가 없는데요.</li><li>그럼 8시 표는 있어요?</li></ul>	<ul><li>Il n'y a pas de billet pour le train de sept heures.</li><li>Dans ce cas, y en a-t-il pour celui de huit heures ?</li></ul>

[sound:비행기_표를_예약하고_싶은데요.mp3]	<ul><li>비행기 표를 예약하고 싶은데요.</li><li>어디로 가실 거예요?</li><li>런던으로 갈 거예요.</li></ul>	<ul><li>Je souhaiterais réserver un billet d'avion.</li><li>Où allez-vous ?</li><li>Je vais à Londres.</li></ul>

[sound:무슨_영화를_보고_싶어요.mp3]	<ul><li>무슨 영화를 보고 싶어요?</li><li>“친구”를 보고 싶어요.</li></ul>	<ul><li>Quel film voudrais-tu voir ?</li><li>Je voudrais voir “Friends”.</li></ul>

[sound:얼마_동안_계실_거예요.mp3]	<ul><li>얼마 동안 계실 거예요?</li><li>5월 10일부터 3일 동안 있을 거예요.</li></ul>	<ul><li>Combien de temps allez-vous rester ?</li><li>Je vais rester trois jours à partir du 10 mai.</li></ul>

[sound:요금이_어떻게_돼요.mp3]	<ul><li>요금이 어떻게 돼요?</li><li>하루에 50,000원이에요.</li></ul>	<ul><li>Combien est-ce ?</li><li>C'est 50 000 wons par jour.</li></ul>

[sound:팔팔공의_오사팔팔이에요.mp3]	<ul><li>전화번호가 어떻게 되세요?</li><li>팔팔공의 오사팔팔이에요.</li></ul>	<ul><li>Quel est votre numéro de téléphone ?</li><li>C'est le 880-5488.</li></ul>

[sound:그_비행기를_예약해_주세요.mp3]	<ul><li>비행기 표를 예약하고 싶은데요.</li><li>어디로 가실 거예요?</li><li>런던으로 갈 거예요.</li><li>언제 출발하실 거예요?</li><li>1월 15일에 출발할 거예요.</li><li>잠깐만 기다리세요. 오전 10시 비행기가 있어요.</li><li>그럼 그 비행기를 예약해 주세요.</li></ul>	<ul><li>Je souhaiterais réserver un billet d'avion.</li><li>Où allez-vous ?</li><li>Je vais à Londres.</li><li>Quand partez-vous ?</li><li>Je partirai le 15 janvier.</li><li>Veuillez patienter un instant. Il y a un vol à 10h.</li><li>Dans ce cas veuillez réserver sur ce vol.</li></ul>

[sound:지금_방_예약할_수_있어요.mp3]	<ul><li>지금 방<span class="light">(을)</span> 예약할 수 있어요?</li><li>네, 얼마 동안 계실 거예요?</li><li>5월 10일부터 3일 동안 있을 거예요.</li><li>침대 방하고 온돌방이 있는데요.</li><li>침대 방을 주세요. 요금이 어떻게 돼요?</li><li>하루에 100,000원이에요. 성함이 어떻게 되세요?</li><li>마이클 존슨이에요.</li></ul>	<ul><li>Puis-je réserver une chambre maintenant ?</li><li>Oui, combien de temps allez-vous rester ?</li><li>Je vais rester trois jours à partir du 10 mai.</li><li>Il y a une chambre avec lit et une chambre chauffée au sol.</li><li>Veuillez me donner une chambre avec lit. C'est combien ?</li><li>C'est 100 000 wons par jour. Quel est votre nom ?</li><li>Je m'appelle Michael Johnson.</li></ul>




## 듣기

[sound:방학에_뭘_하고_싶어요.mp3]	<ul><li>방학에 뭘 하고 싶어요?</li><li>일본어를 배우고 싶어요.</li><li>그래요? 운동은 안 할 거예요?</li><li>수영을 배우고 싶어요.</li><li>여행은 안 가요?</li><li>저는 여행을 안 좋아해요.</li><li>주말에 산에 갈 거예요?</li><li>피곤해서 쉬고 싶어요.</li></ul>	<ul><li>Que voudrais-tu faire pendant les vacances ?</li><li>Je voudrais apprendre le japonais.</li><li>Vraiment ? Tu ne feras pas de sport ?</li><li>Je voudrais apprendre à nager.</li><li>Tu ne vas pas en voyage ?</li><li>Je n'aime pas voyager.</li><li>Iras-tu à la montagne ce week-end ?</li><li>Comme je suis fatigué, je voudrais me reposer.</li></ul>

[sound:파리_가는_비행기_표를_예약하고_싶은데요.mp3]	<ul><li>파리 가는 비행기 표를 예약하고 싶은데요.</li><li>언제 출발하실 거예요?</li><li>2월 15일에 출발할 거예요. 아침 9시쯤에 비행기가 있어요?</li><li>9시 30분 비행기가 있어요.</li><li>요금이 어떻게 돼요?</li><li>150만 원이에요.</li></ul>	<ul><li>Je souhaiterais réserver un billet d'avion pour Paris.</li><li>Quand allez-vous partir ?</li><li>Je partirai le 15 février. Y a-t-il un vol vers 9 heures du matin ?</li><li>Il y a un vol à 9h30.</li><li>C'est combien ?</li><li>1,5 million de wons.</li></ul>

[sound:6월_3일에_방콕에_가고_싶은데요.mp3]	<ul><li>6월 3일에 방콕에 가고 싶은데요.</li><li>몇 시에 출발하실 거예요?</li><li>오후 2시쯤요.</li><li>죄송합니다. 오후 2시 비행기는 자리가 없는데요. 3시 20분 비행기에는 자리가 있어요.</li><li>그럼 3시 20분 비행기를 예약해 주세요. 요금이 어떻게 돼요?</li><li>37만 원이에요.</li></ul>	<ul><li>Je voudrais aller à Bangkok le 3 juin.</li><li>À quelle heure partez-vous ?</li><li>Vers 14h.</li><li>Désolé. Il n'y a pas de place pour le vol de 14h. Il y a une place pour le vol de 15h20.</li><li>Alors veuillez réserver pour le vol de 15h20 svp. C'est combien ?</li><li>370 000 wons.</li></ul>

[sound:뉴욕에_가고_싶은데요.mp3]	<ul><li>뉴욕에 가고 싶은데요.</li><li>언제 출발하실 거예요?</li><li>9월 23일요. 아침 비행기가 있어요?</li><li>아침 7시 10분 비행기가 있는데요.</li><li>그 비행기는 요금이 어떻게 돼요?</li><li>190만 원이에요.</li><li>그럼 그 비행기를 예약해 주세요.</li></ul>	<ul><li>Je voudrais aller à New York.</li><li>Quand allez-vous partir ?</li><li>Le 23 septembre. Y a-t-il un vol le matin ?</li><li>Il y a un vol à 7h10 du matin.</li><li>Combien coûte ce vol ?</li><li>C'est 1,9 million de wons.</li><li>Alors veuillez réserver ce vol svp.</li></ul>

[sound:방을_예약하고_싶은데요.mp3]	<ul><li>방을 예약하고 싶은데요.</li><li>네, 언제부터 계실 거예요?</li><li>6월 5일부터 7일까지 있을 거예요.</li><li>침대 방하고 온돌방이 있는데요.</li><li>온돌방을 주세요. 요금이 어떻게 돼요?</li><li>하루에 10만 원이에요. 성함이 어떻게 되세요?</li><li>김영준이에요.</li></ul>	<ul><li>Je voudrais réserver une chambre.</li><li>Oui, à partir de quand <span class="light">(allez-vous rester)</span> ?</li><li>Je resterai du 5 au 7 juin.</li><li>Il y a une chambre avec lit et une chambre chauffée au sol.</li><li>Donnez-moi une chambre chauffée au sol. C'est combien ?</li><li>C'est 100 000 wons par jour. Quel est votre nom ?</li><li>Je m'appelle Kim Young-joon.</li></ul>



## workbook

[sound:라주_씨는_운동_좋아해요.mp3]	<ul><li>라주 씨는 운동<span class="light">(을)</span> 좋아해요?</li><li>네, 좋아해요.</li><li>그럼 스키를 탈 수 있어요?</li><li>네, 탈 수 있어요.</li><li>그럼 테니스도 칠 수 있어요?</li><li>못 쳐요. 테니스는 안 배웠어요.</li><li>수영은요?</li><li>할 수 있어요. 그리고 요즘 태권도를 배우고 있어요. 태권도가 아주 재미있어요.</li></ul>	<ul><li>Raju, aimes-tu le sport ?</li><li>Oui, j'aime ça.</li><li>Alors peux-tu skier ?</li><li>Oui, je peux.</li><li>Alors peux-tu aussi jouer au tennis ?</li><li>Je ne peux pas. Je n'ai pas appris le tennis.</li><li>Et la natation ?</li><li>Je peux en faire. Et ces jours-ci je suis en train d'apprendre le taekwondo. Le taekwondo est très amusant.</li></ul>

[sound:방_하나_예약하고_싶은데요.mp3]	<ul><li><span class="light">(손님)</span> 방 하나 예약하고 싶은데요.</li><li><span class="light">(직원)</span> 네, 언제부터 언제까지 계실 거예요?</li><li>7월 13일부터 7월 17일까지요.</li><li>7월 13일에는 방이 없는데요.</li><li>그럼 7월 14일부터 7월 17일까지요.</li><li>침대 방하고 온돌방이 있는데요.</li><li>온돌방<span class="light">(을)</span> 주세요. 요금이 어떻게 돼요?</li><li>하루에 150,000원이에요. 성함이 어떻게 되세요?</li><li>민영진이에요.</li><li>전화번호는요?</li><li>5683-5279예요.</li></ul>	<ul><li><span class="light">(client)</span> Je voudrais réserver une chambre.</li><li><span class="light">(personnel)</span> Oui, de quand à quand allez-vous rester ?</li><li>Du 13 au 17 juillet.</li><li>Le 13 juillet il n'y a pas de chambre <span class="light">(de disponible)</span>.</li><li>Dans ce cas du 14 au 17 juillet.</li><li>Il y a une chambre à coucher et une chambre chauffée au sol.</li><li>Donnez-moi une chambre chauffée au sol. C'est combien ?</li><li>C'est 150 000 wons par jour. Comment vous appelez-vous ?</li><li>Je m'appelle Minyoungjin.</li><li>Quel est votre numéro de téléphone ?</li><li>C'est le 5683-5279.</li></ul>

