tags: active-korean unit-6-etiquette


## 어휘

[sound:예의.mp3]	예의	courtoisie, étiquette
[sound:허가.mp3]	허가<p class="small">(&ne;&nbsp;금지)</p>	permission, autorisation<p class="small">(&ne;&nbsp;interdiction)</p>
[sound:금지.mp3]	금지<p class="small">(&ne;&nbsp;허가)</p>	interdiction<p class="small">(&ne;&nbsp;permission, autorisation)</p>
[sound:시점.mp3]	시점	moment précis
[sound:아기.mp3]	아기	bébé
[sound:안내.mp3]	안내	information, renseignement, tutoriel
[sound:쓰레기.mp3]	쓰레기	ordures, déchets, détritus
[sound:껌.mp3]	껌	chewing-gum<p class="small">(angl. “gum”)</p>
[sound:바닥.mp3]	바닥	sol, plancher
[sound:어른.mp3]	어른	adulte<hr/>aîné, ancien
[sound:할인.mp3]	할인	remise, réduction
[sound:카드.mp3]	카드	carte<p class="small">(angl. “card”)</p>
[sound:퍼센트.mp3]	퍼센트	pourcent (%)<p class="small">(angl. “percent”)</p>
[sound:날짜.mp3]	날짜	date

[sound:엘리베이터.mp3]	엘리베이터 <span class="small light">/ 계단</span>	ascenseur <span class="small light">/ escalier</span><p class="small">(angl. “elevator”)</p>
[sound:계단.mp3]	계단 <span class="small light">/ 엘리베이터</span>	escalier <span class="small light">/ ascenseur</span>

[sound:주차장.mp3]	주차장	parking, place de stationnement
[sound:주차하다.mp3]	주차하다<hr/>차를 세우다	garer<p class="small">(un véhicule)</p>

[sound:악수.mp3]	악수	poignée de main
[sound:악수하다.mp3]	악수하다	serrer la main

[sound:슬픔.mp3]	슬픔<p class="small">(&ne;&nbsp;기쁨)</p>	tristesse<p class="small">(&ne;&nbsp;joie)</p>
[sound:슬프다.mp3]	슬프다<p class="small">(&ne;&nbsp;기쁘다)</p>	être triste<p class="small">(&ne;&nbsp;être heureux)</p>

[sound:심심하다.mp3]	심심하다	être ennuyé
[sound:버리다.mp3]	버리다	jeter, rejeter
[sound:씹다.mp3]	씹다	mâcher
