tags: active-korean unit-7-hospital


## 어휘

[sound:증세.mp3]	증세 <span class="small light">/ 진료</span>	symptôme<p class="small light">/ consultation (médicale)</p>
[sound:원인.mp3]	원인 <span class="small light">/ 이유</span>	cause <span class="small light">/ raison</span><ul><li>cause : ce qui produit quelque chose</li><li>raison : ce qui explique, justifie un fait, un acte</li></ul>
[sound:찬물.mp3]	찬물	eau froide
[sound:일기.mp3]	일기	journal<p class="small">(angl. “diary”)</p>

[sound:다치다.mp3]	다치다	être blessé
[sound:넘어지다.mp3]	넘어지다 <span class="small light">/ 떨어지다</span>	tomber<ul><li><span class="em">넘어지다</span> : au sens propre de glisser, trébucher (en marchant, en se tenant debout)</li><li>떨어지다 : au sens propre de chuter (de haut en bas)&nbsp;; au sens figuré : rater un examen (시험에 떨어지다)</li></ul>

[sound:으니까.mp3]	그러니까<hr/><div class="활용" style="font-size: 100%"><div class="연결">AV-(으)니까</div></div><p class="small">(연결 어미)</p>	comme, donc, c'est pourquoi<p class="small">(&#10102; adverbe conjonctif&nbsp;; &#10103; suffixe jonctif verbal)</p><ul><li>connecteur logique exprimant une relation de <span class="em">causalité</span> (<span class="em">comme -아서/-어서</span>)</li><li>contrairement à -아서/-어서, il peut être précédé d'un morphème de temps (-았-, -었-, -겠-, &hellip;)</li><li>dans les phrases <span class="em">impératives ou exhortatives</span>, on utilise toujours -(으)니까 à la place de -아서/-어서<ul><li style="text-decoration:line-through">날씨가 좋아서 산에 갈까요?</li><li>날씨가 좋으니까 산에 갈까요?</li></ul></li></ul>

[sound:지_마세요.mp3]	V-지 마세요	forme négative de l'impératif<p class="small">(ne pas &hellip;)</p>



## 핵심 대화

[sound:머리가_아파요.mp3]	<ul><li>어디가 아파요?</li><li>머리가 아파요.</li></ul>	<ul><li>Où as-tu mal ?</li><li>J'ai mal à la tête.</li></ul>

[sound:감기에_걸려서_왔어요.mp3]	<ul><li>어떻게 오셨어요?</li><li>감기에 걸려서 왔어요.</li></ul>	<ul><li>Que puis-je pour vous ?</li><li>Je suis venu pour un rhume.</li></ul>

[sound:다리를_다쳐서_왔어요.mp3]	<ul><li>어떻게 오셨어요?</li><li>다리를 다쳐서 왔어요.</li></ul>	<ul><li>Que puis-je pour vous ?</li><li>Je suis venu parce que je me suis blessé à la jambe.</li></ul>

[sound:기침를_많이_해요.mp3]	<ul><li>어떻게 아프세요?</li><li>기침을 많이 해요. 그리고 열도 나요.</li></ul>	<ul><li>Où avez-vous mal ?</li><li>Je tousse beaucoup. Et j'ai aussi de la fièvre.</li></ul>

[sound:감기에_걸렸으니까_이_약을_드세요.mp3]	<ul><li>무슨 약을 먹어야 돼요?</li><li>감기에 걸렸으니까 이 약을 드세요.</li></ul>	<ul><li>Quel médicament dois-je prendre ?</li><li>Comme vous avez un rhume, prenez ce médicament.</li></ul>

[sound:감기에_걸렸으니까_수영하지_마세요.mp3]	<ul><li>수영해도 돼요?</li><li>감기에 걸렸으니까 수영하지 마세요.</li></ul>	<ul><li>Puis-je nager ?</li><li>Comme vous avez un rhume, ne nagez pas !</li></ul>



## 대화 연습

[sound:감기에_걸렸으니까_찬물을_마시지_마세요.mp3]	<ul><li>어떻게 오셨어요?</li><li>머리가 아파서 왔어요.</li><li>여기 앉으세요. 언제부터 아팠어요?</li><li>어제부터 아팠어요.</li><li>감기에 걸렸으니까 찬물을 마시지 마세요. 그리고 많이 쉬세요.</li><li>내일 다시 와야 돼요?</li><li>네, 내일 다시 오세요.</li></ul>	<ul><li>Que puis-je pour vous ?</li><li>Je suis venu pour un mal de tête.</li><li>Veuillez vous asseoir ici. Depuis quand êtes-vous malade ?</li><li>Je suis malade depuis hier.</li><li>Comme vous avez un rhume, ne buvez pas d'eau froide. Et prenez beaucoup de repos.</li><li>Dois-je revenir demain ?</li><li>Oui, revenez demain.</li></ul>



## 듣기

[sound:배가_아프니까_술을_마시지_마세요.mp3]	<ul>배가 아프니까 술을 마시지 마세요.</ul>	<ul>Comme vous avez mal au ventre, ne buvez pas d'alcool.</ul>
[sound:지금은_길이_복잡하니까_버스를_타지_마세요.mp3]	<ul>지금은 길이 복잡하니까 버스를 타지 마세요.</ul>	<ul>La route est bouchée maintenant, alors ne prenez pas le bus.</ul>
[sound:이_옷은_비싸니까_사지_마세요.mp3]	<ul>이 옷은 비싸니까 사지 마세요.</ul>	<ul>N'achetez pas ces vêtements car ils sont chers.</ul>
[sound:추우니까_창물을_열지_마세요.mp3]	<ul>추우니까 창문을 열지 마세요.</ul>	<ul>N'ouvrez pas la fenêtre car il fait froid.</ul>
[sound:감기에_걸렸으니까_산에_가지_마세요.mp3]	<ul>감기에 걸렸으니까 산에 가지 마세요.</ul>	<ul>Comme vous avez un rhume, n'allez pas à la montagne.</ul>

[sound:눈이_아파서_왔어요.mp3]	<ul><li>어떻게 오셨어요?</li><li>눈이 아파서 왔어요.</li></ul>	<ul><li>Que puis-je pour vous ?</li><li>Je suis venu parce que j'ai mal aux yeux.</li></ul>

[sound:허리가_너무_아파요.mp3]	<ul><li>어디가 아프세요?</li><li>허리가 너무 아파요.</li><li>언제부터 아팠어요?</li><li>한 달쯤 됐어요.</li></ul>	<ul><li>Où avez-vous mal ?</li><li>J'ai trop mal à la hanche.</li><li>Depuis quand êtes-vous malade ?</li><li>Ça fait environ un mois.</li></ul>

[sound:그리고_콧물이_나요.mp3]	<ul><li>어떻게 오셨어요?</li><li>기침을 많이 해요. 그리고 콧물이 나요.</li></ul>	<ul><li>Que puis-je pour vous ?</li><li>Je tousse beaucoup. Et j'ai le nez qui coule.</li></ul>

[sound:열도_나고_기침도_많이_나서_왔어요.mp3]	<ul><li>어디가 아프세요?</li><li>열도 나고 기침도 많이 나서 왔어요.</li><li>“아” 해 보세요.</li><li>“아” &hellip;</li><li>감기에 걸렸으니까 많이 쉬어야 돼요. 그리고 목이 아프니까 물을 많이 드세요.</li><li>네, 내일도 와야 돼요?</li><li>네, 내일 다시 한번 오세요.</li></ul>	<ul><li>Où avez-vous mal ?</li><li>Je suis venu parce que j'ai de la fièvre et que je tousse beaucoup.</li><li>Essayez de dire “ah”.</li><li>“Ah” &hellip;</li><li>Comme vous avez un rhume, vous devez beaucoup vous reposer. De plus, à cause de votre mal de gorge, buvez beaucoup d'eau.</li><li>Oui, dois-je venir demain encore ?</li><li>Oui, revenez une fois demain.</li></ul>



## 읽기와 쓰기

