tags: active-korean unit-8-advice-suggestions


## 어휘

[sound:조언_충고.mp3]	조언<hr/>충고<p class="small light">/ 의견 / 제안</p>	conseil<p class="small light">/ opinion, avis / proposition, suggestion</p><ul><li>조언: conseil visant à proposer une amélioration</li><li>충고: conseil visant à pointer ou corriger un défaut, ce qui peut lui donner une nuance d'avertissement (il ne s'adresse jamais à un parent, un professeur ou un supérieur)</li></ul>

[sound:제안.mp3]	제안<p class="small light">/ 의견 / 조언, 충고</p>	proposition, suggestion<p class="small light">/ opinion, avis / conseil</p>
[sound:제안하다.mp3]	제안하다	proposer, suggérer

[sound:건강.mp3]	건강	santé
[sound:걱정_고민.mp3]	걱정<hr/>고민	souci, inquiétude, préoccupation<ul><li>lorsque l'inquiétude relève d'un choix ou d'une décision difficile à prendre, alors 고민 doit être utilisé</li></ul>
[sound:생각.mp3]	생각	pensée, idée
[sound:다이어트.mp3]	다이어트	régime<p class="small">(angl. “diet”)</p>
[sound:설탕.mp3]	설탕	sucre
[sound:한라산.mp3]	한라산 <span class="small">[할ː라산]</span>	Hallasan<p class="small">(mont Halla)</p><ul><li>point culminant de la Corée du Sud, à 1 950 mètres d'altitude</li><li>volcan bouclier dont la dernière éruption date de 1007</li><li>il domine l'île volcanique de Jeju (<span class="em">제주도</span>)</li><li>il est caractérisé par le nombre important et la grande longueur des tunnels de lave qu'il a produits (42 km)</li></ul>
[sound:피라미드.mp3]	피라미드	pyramide
[sound:생선회.mp3]	생선회	sashimi<p class="small">(생선: poisson, 회: cru)</p><ul><li>Dans la cuisine coréenne, le <span class="em">회</span> est un type de plat de viande, poisson ou fruit de mer cru.</li><li>Il en existe deux principales sortes : <span class="em">회</span> (cru) et <span class="em">숙회</span> (blanchi).</li></ul>
[sound:집안일.mp3]	집안일	tâche ménagère, corvée (domestique)
[sound:항상.mp3]	항상<p class="small">(&ne;&nbsp;절대)</p>	toujours<p class="small">(&ne;&nbsp;jamais)</p>


[sound:그게_좋겠어요_그거_좋은_생각이에요.mp3]	그게 좋겠어요.<hr/>그거 좋은 생각이에요.	Ce serait bien.<hr/>Voilà une bonne idée.<ul><li>pour répondre favorablement à une proposition</li></ul>

[sound:놀이.mp3]	놀이	jeu
[sound:놀다.mp3]	놀다	jouer, s'amuser
[sound:윷놀이.mp3]	윷놀이 <span class="small">[윤ː노리]</span>	yunnori<ul><li>littéralement, “jeu du yut”, parfois abrégé en Occident par le nom d'un de ses coups : yut (윷)</li><li>jeu de plateau coréen d'origine chinoise, datant de la dynastie Han, et joué en Corée, notamment lors des célébrations de <span class="em">설날</span>, fête du nouvel an</li><li>jeu proche du jeu des petits chevaux occidental</li><li>il y a deux ensemble de quatre pions, appelés <span class="em">말</span> (cheval)</li><li>deux couleurs différentes représentent chaque joueur : généralement le bleu et le rouge, comme le yin et le yang du 태극 du drapeau coréen, ou bien noir et blanc, comme la version imprimée du taiji ou les pions du jeu de go (바둑)</li></ul>

[sound:좋다_나쁘다.mp3]	<span class="small">N-한테</span> 좋다 / 나쁘다<hr/><span class="small">N-에</span> 좋다 / 나쁘다	être bon / mauvais<p class="small">pour N</p><ul><li>le datif est exprimé à travers le suffixe <span class="em">-한테 pour une personne ou un animal</span></li><li>et le suffixe <span class="em">-에 pour un inanimé</span> (objet, concept, &hellip;)</li></ul>

[sound:는_게_어때요.mp3]	V-는 게 어때요?	expression pour suggérer de faire qq chose

[sound:아서_어서_걱정이다.mp3]	<span class="small">V-아서/-어서</span> 걱정이다	s'inquiéter de
[sound:돈이_없어서_걱정이에요.mp3]	<ul>돈이 없어서 걱정이에요.</ul>	<ul>Je suis inquiet parce ce que je n'ai pas d'argent.</ul>
[sound:내일_시험이_있어서_걱정이에요.mp3]	<ul>내일 시험이 있어서 걱정이에요.</ul>	<ul>Je suis inquiet parce que j'ai un examen demain.</ul>

[sound:길다.mp3]	길다<p class="small">(&ne;&nbsp;짧다)</p>	être long<p class="small">(&ne;&nbsp;être court)</p>
[sound:잘하다.mp3]	잘하다	être habile, compétent, bon


[sound:찌다.mp3]	<span class="light">(살이)</span> 찌다	prendre du poids<p class="small">(살: chair)</p>
[sound:내다.mp3]	내다	payer
[sound:넣다.mp3]	넣다 <span class="small">[너ː타]</span>	mettre (à l'intérieur), insérer
[sound:면_좋다.mp3]	-면 좋다	exprimer un souhait ou une recommandation, plutôt qu'une envie<p class="small">(“ce serait bien de &hellip;”)</p>

[sound:이렇게.mp3]	이렇게	de cette façon, de cette manière, comme ça
## [sound:이렇다.mp3]	이렇다	???
## 	difference between 이렇다 and 어떻다
## 	어떻게 forme adverbiale de 어떻다 : https://en.wiktionary.org/wiki/%EC%9D%B4%EB%A0%87%EB%8B%A4



## 핵심 대화

[sound:요가가_여자들한테_좋아요.mp3]	<ul><li>여자들한테 무슨 운동이 좋아요?</li><li>요가가 여자들한테 좋아요.</li></ul>	<ul><li>Quel exercice est bon pour les femmes ?</li><li>Le yoga est bon pour les femmes.</li></ul>

[sound:담배는_건강에_나빠요.mp3]	<ul><li>담배<span class="light">(가)</span> 있어요?</li><li>담배는 건강에 나빠요.</li></ul>	<ul><li>As-tu une cigarette ?</li><li>Les cigarettes sont mauvaises pour la santé.</li></ul>

[sound:병원에_가_보세요.mp3]	<ul><li>어디가 아파요?</li><li>감기에 걸렸어요.</li><li>그럼 병원에 가 보세요.</li></ul>	<ul><li>Qu'est-ce qui ne va pas ?</li><li>J'ai attrapé un rhume.</li><li>Alors essaye d'aller à l'hôpital.</li></ul>

[sound:요즘_살이_쪄서_걱정이에요.mp3]	<ul><li>왜 밥을 안 먹어요? 무슨 일 있어요?</li><li>요즘 살이 쪄서 걱정이에요.</li><li>그럼 매일 운동을 해 보세요.</li></ul>	<ul><li>Pourquoi ne manges-tu pas ? Que se passe-t-il ?</li><li>Je suis inquiet de prendre du poids ces jours-ci.</li><li>Alors essaye de faire de l'exercice tous les jours.</li></ul>

