tags: active-korean unit-9-shopping


## 어휘

[sound:짧다.mp3]	짧다 <span class="small">[짤따]</span><p class="small">(&ne;&nbsp;길다)</p>	être court<p class="small">(&ne;&nbsp;être long)</p>
[sound:높다.mp3]	높다<p class="small">(&ne;&nbsp;낮다)</p>	être haut<p class="small">(&ne;&nbsp;être bas)</p>
[sound:낮다.mp3]	낮다 <span class="small">[낟따]</span><p class="small">(&ne;&nbsp;높다)</p>	être bas<p class="small">(&ne;&nbsp;être haut)</p>
[sound:똑똑하다.mp3]	똑똑하다	être intelligent
[sound:무겁다.mp3]	무겁다<p class="small">(&ne;&nbsp;가볍다)</p>	être lourd<p class="small">(&ne;&nbsp;être léger)</p>
[sound:무섭다.mp3]	무섭다	être effrayant
[sound:깎다.mp3]	깎다 <span class="small">[깍따]</span>	couper (faucher, tondre)<hr/>marchander<p class="small">(sens figuré)</p>
[sound:빌딩.mp3]	빌딩	bâtiment<p class="small">(angl. “building”)</p>



## 핵심 대화

[sound:짧은_치마를_사고_싶은데요.mp3]	<ul><li>어서 오세요. 뭘 찾으세요?</li><li>짧은 치마를 사고 싶은데요.</li></ul>	<ul><li>Bienvenue. Que cherchez-vous ?</li><li>Je voudrais acheter une jupe courte.</li></ul>

[sound:이_하얀색_치마는_어떠세요.mp3]	<ul><li>이 하얀색 치마는 어떠세요? 아주 예쁘고 편해요.</li><li>다른 색은 없어요?</li><li>그럼 이건 어때요?</li></ul>	<ul><li>Que pensez-vous de cette jupe blanche? Elle est très jolie et confortable.</li><li>Existe-elle dans d'autres couleurs ?</li><li>Alors que diriez-vous de celle-ci ?</li></ul>

[sound:이_치마를_다른_치마로_바꿔_주세요.mp3]	<ul><li>치마가 좀 긴데요. 이 치마를 다른 치마로 바꿔 주세요.</li><li>그럼 이건 어때요?</li></ul>	<ul><li>La jupe est un peu longue. Veuillez échanger cette jupe avec une autre jupe svp.</li><li>Alors que diriez-vous de celle-ci ?</li></ul>

[sound:이게_그거보다_짧아요.mp3]	<ul><li>치마가 좀 길어요.</li><li>그럼 이거 한번 입어 보세요. 이게 그거보다 짧아요.</li><li>더 짧은 거는 없어요?</li></ul>	<ul><li>La jupe est un peu longue.</li><li>Alors essayez celle-ci. Celle-ci est plus courte que celle-là.</li><li>Il n'y en a pas de plus courte ?</li></ul>



## 대화 연습

[sound:바지를_사고_싶은데요.mp3]	<ul><li>뭘 찾으세요?</li><li>바지를 사고 싶은데요.</li><li>이 하얀색 바지는 어때요? 아주 예쁘고 편해요.</li><li>다른 색은 없어요?</li><li>그럼 까만색 바지는 어때요? 한번 입어 보세요.</li></ul>	<ul><li>Que cherchez-vous ?</li><li>Je voudrais acheter un pantalon.</li><li>Que pensez-vous de ce pantalon blanc ? Il est très joli et confortable.</li><li>Existe-il dans d'autres couleurs ?</li><li>Alors que diriez-vous d'un pantalon noir ? Vous devriez l'essayer.</li></ul>

[sound:긴_바지로_바꿔_주세요.mp3]	<ul><li>어서 오세요.</li><li>바지가 좀 짧은데요. 긴 바지로 바꿔 주세요.</li><li>이건 어때요?</li><li>더 긴 거 없어요?</li><li>그럼 이건 어때요?</li></ul>	<ul><li>Bienvenue.</li><li>Le pantalon est un peu court. Veuillez échanger pour un pantalon long svp.</li><li>Que diriez-vous de celui-ci ?</li><li>Il n'y en a pas de plus long ?</li><li>Alors que diriez-vous de celui-ci ?</li></ul>



## 듣기

[sound:호주가_일본보다_커요.mp3]	<ul><li>어디가 더 커요?</li><li>호주가 일본보다 커요.</li></ul>	<ul><li>Où est le plus grand ?</li><li>L'Australie est plus grande que le Japon.</li></ul>

[sound:어제보다_오늘이_따뜻해요.mp3]	<ul><li>언제 더 따뜻해요?</li><li>어제보다 오늘이 따뜻해요.</li></ul>	<ul><li>Quand fait-il plus doux ?</li><li>Aujourd'hui, il fait plus doux qu'hier.</li></ul>

[sound:주스가_커피보다_비싸요.mp3]	<ul><li>뭐가 더 비싸요?</li><li>주스가 커피보다 비싸요.</li></ul>	<ul><li>Qu'est-ce qui est plus cher ?</li><li>Le jus est plus cher que le café.</li></ul>

[sound:토요일이_일요일보다_바빠요.mp3]	<ul><li>언제 더 바빠요?</li><li>토요일이 일요일보다 바빠요.</li></ul>	<ul><li>Quand est-ce le plus occupé ?</li><li>Le samedi est plus occupé que le dimanche.</li></ul>

[sound:사과보다_포도가_맛있어요.mp3]	<ul><li>뭐가 더 맛있어요?</li><li>사과보다 포도가 맛있어요.</li></ul>	<ul><li>Quel est le meilleur ?</li><li>Le raisin est meilleur que les pommes.</li></ul>

[sound:이거보다_짧은_바지를_좀_보여_주세요.mp3]	<ul><li>뭘 찾으세요?</li><li>하얀색 바지를 사고 싶은데요.</li><li>이거 어떠세요?</li><li>이거보다 짧은 바지를 좀 보여 주세요.</li><li>그럼 이거 한번 입어 보세요. 어떠세요?</li><li>아주 좋은데요. 이거 주세요. 그리고 저 파란색 티셔츠도 하나 주세요.</li></ul>	<ul><li>Que cherchez-vous ?</li><li>Je voudrais acheter un pantalon blanc.</li><li>Que pensez-vous de celui-ci ?</li><li>Pourriez-vous me montrer des pantalons plus courts que celui-ci svp ?</li><li>Alors essayez celui-ci. Qu'en pensez-vous ?</li><li>Il est très bien. Je le prendrai. Et je prendrai aussi un de ces t-shirt bleus.</li></ul>

[sound:저는_어제_남대문시장에_갔어요.mp3]	<ul>저는 어제 남대문시장에 갔어요. 사람이 아주 많고 복잡했어요. 요즘 날씨가 추워서 코트를 사고 싶었어요. 빨간색 코트가 참 예뻤어요. 그렇지만 너무 비쌌어요. 그래서 코트를 안 사고 치마를 하나 샀어요. 옷을 사고 맛있는 비빔밥을 먹었어요. 참 재미있었어요. 다음에 또 가고 싶어요.</ul>	<ul>Hier je suis allé au marché de Namdaemun. Il y avait beaucoup de monde et c'était bondé. Comme il fait froid ces derniers temps, j'ai voulu acheter un manteau. Le manteau rouge était très joli. Mais c'était trop cher. Alors je n'ai pas acheté le manteau et j'ai acheté une jupe. J'ai acheté des vêtements et j'ai mangé un délicieux bibimbap. C'était vraiment amusant. Je veux y retourner à nouveau.</ul>



## 추가 표현


## workbook

