tags: active-korean unit-1-experience


## 어휘

[sound:경험.mp3]	경험	expérience
[sound:의견.mp3]	의견<p class="small light">/ 제안 / 조언, 충고</p>	opinion, avis<p class="small light">/ proposition, suggestion / conseil</p>
[sound:의견_묻다.mp3]	의견 묻다	demander l'opinion, l'avis
[sound:꼭.mp3]	꼭	absolument, sûrement, sans réserve
[sound:이런.mp3]	이런	cette sorte(-ci) de, une telle sorte de

[sound:만리장성.mp3]	만리장성 <span class="small">[말ː리장성]</span>	la Grande Muraille de Chine
[sound:천안문.mp3]	천안문	Tian'anmen<p class="small">(天安门: Porte de la Paix céleste)</p><ul><li>À Pékin (<span class="em">베이징</span>), porte monumentale de l'avenue qui constitue l'<span class="em">entrée sud de la Cité impériale</span>. Elle borde au nord la place qui porte son nom. </li><li>Tian'anmen est une porte fortifiée qui faisait partie de la longue avenue qui, en arrivant du sud, menait jusqu'à la Cité interdite.<br>L'entrée proprement dite du domaine de la ville impériale était Zhonghuamen (中华门, la Porte de Chine), aussi appelée Daqingmen (大清门, la Grande Porte des Qing), qui fut détruite en 1954 et qui se trouvait à l'emplacement actuel du mausolée de Mao Zedong, à environ 700 m au sud de Tian'anmen.<br>L'entrée proprement dite du palais impérial (c'est-à-dire de la Cité interdite) se trouve, elle, à environ 600 m au nord de Tian'anmen, il s'agit de Wumen (午门, la Porte du Midi). </li><li>Les trois caractères signifient, dans l'ordre, <span class="em">ciel (天)</span>, <span class="em">paix (安)</span> et <span class="em">porte (门)</span>. Ce nom de “Porte de la paix du ciel” s'oppose à celui de la porte nord de la cité impériale, appelée Di'anmen (地安门, la Porte de la Paix terrestre).</li><li>Il est inexact, ou plus précisément redondant, de parler de “la porte Tian'anmen”, car men (门/門) signifie “porte”, il s'agirait donc d'une tautologie.</li></ul>
[sound:춘천.mp3]	춘천<hr/><img src="강원도.svg">	Chuncheon<p class="small">(litt. “rivière de printemps”)</p><ul><li>Chuncheon est la <span class="em">capitale de la province de Gangwon (강원도)</span>. La ville est située dans un bassin formé par la rivière Soyang (소양강) et du fleuve Han (한강). Il y a quelques grands lacs autour de la ville, notamment le lac Soyang (소양호) et le lac Uiam (의암호). La région est réputée pour ses petites îles fluviales, telles que Sangjungdo (상중도) et Hajungdo (하중도).</li><li>Après l'énorme succès du drama Winter Sonata (겨울 연가), la ville est également devenue une destination touristique majeure de la “vague coréenne” (한류), attirant des visiteurs de toute l'Asie orientale. C'est là que se trouve l'île balnéaire de Nami (<span class="em">남이섬</span>).</li><li>Côté gastronomie, la ville est célèbre pour son poulet épicé sauté, le “dak-galbi” (<span class="em">닭갈비</span>). Ce plat coréen populaire est préparé en faisant sauter du poulet mariné en dés dans une sauce à base de gochujang (고추장) avec des patates douces, du chou, des feuilles de périlla, des échalotes, du tteok (떡, gâteau de riz), et d'autres ingrédients. Les nouilles makguksu (<span class="em">막국수</span>), nouilles de sarrasin servies dans un bouillon réfrigéré, sont une autre spécialité de la ville.</li></ul>
[sound:닭갈비.mp3]	닭갈비 <span class="small">[닥깔비]</span>	dak-galbi<p class="small">(닭: poulet, 갈비: côte)</p><ul><li>Contrairement à ce que son étymologie pourrait laisser penser, le dak-galbi n'est pas un plat de “chicken ribs” (côtes de poulet) mais du <span class="em">poulet sauté épicé</span>. Ce plat coréen populaire est préparé en faisant sauter du poulet mariné en dés dans une sauce à base de <span class="em">고추장</span> (pâte de piment fermentée) avec des patates douces, du chou, des feuilles de périlla, des échalotes, du tteok (<span class="em">떡</span>, gâteau de riz), et d'autres ingrédients.</li><li>Les feuilles de laitue et de périlla sont servies comme légumes 쌈 (litt. “roulé”).</li><li>De nombreux restaurants dak-galbi ont des plaques chauffantes rondes intégrées dans les tables.</li><li>Ce plat est une spécialité locale de <span class="em">춘천</span> (capitale de la province de Gangwon, 강원도), et est souvent appelé Chuncheon-dak-galbi.</li></ul>
[sound:여러분.mp3]	여러분	tous, tout le monde
