tags: active-korean unit-2-greetings-introductions


## 어휘

[sound:인사와.mp3]	인사와	salutations
[sound:소개.mp3]	소개	présentation

[sound:표현.mp3]	표현	expression
[sound:어휘.mp3]	어휘	vocabulaire
[sound:대화.mp3]	대화	dialogue, conversation, discussion
[sound:연습.mp3]	연습	exercice

[sound:국가.mp3]	국가	pays
[sound:국적.mp3]	국적	nationalité
[sound:국적이_뭐예요.mp3]	국적이 뭐예요?	quelle est votre nationalité ?
[sound:수도.mp3]	수도	capitale
[sound:미국.mp3]	미국	États-Unis, USA
[sound:중국.mp3]	중국	Chine
[sound:일본.mp3]	일본	Japon
[sound:인도.mp3]	인도	Inde
[sound:호주.mp3]	호주	Australie
[sound:영국.mp3]	영국	Royaume-Uni
[sound:독일.mp3]	독일	Allemagne
[sound:프랑스.mp3]	프랑스<hr/>불란서	France
[sound:캐나다.mp3]	캐나다	Canada
[sound:한국.mp3]	한국 (대한민국)	Corée du Sud (république de Corée)
[sound:러시아.mp3]	러시아	Russie
[sound:이탈리아.mp3]	이탈리아	Italie
[sound:스페인.mp3]	스페인	Espagne
[sound:멕시코.mp3]	멕시코	Mexique
[sound:모로코.mp3]	모로코	Maroc
[sound:벨기에.mp3]	벨기에	Belgique
[sound:스위스.mp3]	스위스	Suisse
[sound:태국.mp3]	태국	Thaïlande

[sound:직업.mp3]	직업	métier, profession, travail
[sound:직업이_뭐예요.mp3]	직업이 뭐예요?	quel est votre profession ?
[sound:교수님.mp3]	교수(님)	professeur (d'université)
[sound:선생님.mp3]	선생(님)	professeur
[sound:학교.mp3]	학교	école
[sound:학생.mp3]	학생	élève, écolier
[sound:초등학교.mp3]	초등학교	école primaire
[sound:초등학생.mp3]	초등학생	élève du primaire
[sound:고등학교.mp3]	고등학교	lycée
[sound:고등학생.mp3]	고등학생	lycéen
[sound:대학교.mp3]	대학교	université
[sound:대학생.mp3]	대학생	étudiant<p class="small">(à l'université)</p>
[sound:대학원생.mp3]	대학원생	étudiant<p class="small">(en master)</p>
[sound:의사.mp3]	의사	médecin, docteur
[sound:약사.mp3]	약사	pharmacien
[sound:간호사.mp3]	간호사	infirmier
[sound:요리.mp3]	요리	cuisine
[sound:요리사.mp3]	요리사	cuisinier, chef
[sound:은행.mp3]	은행	banque
[sound:은행원.mp3]	은행원	employé de banque
[sound:기자.mp3]	기자	journaliste
[sound:회사.mp3]	회사	entreprise, compagnie, société
[sound:회사원.mp3]	회사원	employé de bureau
[sound:연구.mp3]	연구	recherche<p class="small">(scientifique)</p>
[sound:연구원.mp3]	연구원	chercheur
[sound:사업가.mp3]	사업가	homme d'affaires, entrepreneur
[sound:소방관.mp3]	소방관	pompier
[sound:경찰.mp3]	경찰	police
[sound:배우.mp3]	배우	acteur
[sound:우체부.mp3]	우체부	facteur
[sound:미용사.mp3]	미용사	coiffeur
[sound:과학.mp3]	과학	science
[sound:과학자.mp3]	과학자	scientifique, savant
[sound:기술.mp3]	기술	technique
[sound:기술자.mp3]	기술자	technicien, ingénieur
[sound:변호사.mp3]	변호사	avocat
[sound:판사.mp3]	판사(님)	juge
[sound:모델.mp3]	모델	mannequin
[sound:회계.mp3]	회계	comptabilité
[sound:회계사.mp3]	회계사	comptable
[sound:가수.mp3]	가수	chanteur
[sound:주부.mp3]	주부	femme au foyer
[sound:작가.mp3]	작가	écrivain

[sound:이름이_뭐예요.mp3]	이름이 뭐예요?	comment vous appelez-vous ?
[sound:이름.mp3]	이름	nom, prénom
[sound:여기.mp3]	여기	ici<p class="small">(lieu près du locuteur)</p>
[sound:씨.mp3]	(nom)prénom 씨	monsieur, madame, mademoiselle<p class="small">(terme honorifique)</p>
[sound:사람.mp3]	사람	personne<p class="small">(être humain)</p>
[sound:주소.mp3]	주소	adresse
[sound:전화.mp3]	전화	téléphone

[sound:나무.mp3]	나무	arbre
[sound:옷.mp3]	옷	vêtement, habit
[sound:꽃.mp3]	꽃	fleur
[sound:명함.mp3]	명함	carte de visite
[sound:저.mp3]	저	je, moi
[sound:우리.mp3]	우리	nous
[sound:친구.mp3]	친구	ami

[sound:안녕하십니까.mp3]	안녕하십니까	bonjour, bonsoir [p.f.]
[sound:안녕하세요.mp3]	안녕하세요	bonjour, bonsoir [p.i.]
[sound:안녕히_가세요.mp3]	안녕히 가세요	au revoir<p class="small">(dit par la personne qui reste à la personne qui part)</p>
[sound:안녕히_계세요.mp3]	안녕히 계세요	au revoir<p class="small">(dit par la personne qui part à la personne qui reste)</p>
[sound:반갑습니다.mp3]	반갑습니다	enchanté, ravi de vous rencontrer/revoir [p.f.]
[sound:만나서_반가워요.mp3]	(만나서) 반가워요	enchanté, ravi de vous rencontrer/revoir [p.i.]

[sound:감사합니다.mp3]	감사합니다	merci [p.f. 1]
[sound:고맙습니다.mp3]	고맙습니다	merci [p.f. 2]
[sound:천만에요.mp3]	천만에요	avec plaisir, de rien, (il n'y a) pas de quoi, je vous en prie<p class="small">(en réponse à un remerciement)</p>
[sound:죄송합니다.mp3]	죄송합니다	désolé, navré, excusez-moi [p.f. 1]
[sound:미안합니다.mp3]	미안합니다	désolé, navré, excusez-moi [p.f. 2]
[sound:괜찮습니다.mp3]	괜찮습니다	ce n'est pas grave, ça va [p.f.]<p class="small">(en réponse à des excuses)</p>
[sound:괜찮아요.mp3]	괜찮아요	ce n'est pas grave, ça va [p.i.]<p class="small">(en réponse à des excuses)</p>
[sound:실례합니다.mp3]	실례합니다	excusez-moi, pardon [p.f.]

[sound:네.mp3]	네	oui
[sound:아니요.mp3]	아니요	non


## 숙제

[sound:학생이에요.mp3]	<ul><li>애니 씨는 학생이에요?</li><li>네, 학생이에요.</li></ul>	<ul><li>Annie, êtes-vous étudiante ?</li><li>Oui.</li></ul>

[sound:선생님이에요.mp3]	<ul><li>마이클 씨는 선생님이에요?</li><li>아니요, 요리사예요.</li></ul>	<ul><li>Michael, êtes-vous enseignant ?</li><li>Non, je suis cuisinier.</li></ul>

[sound:회사원이에요.mp3]	<ul><li>미사코 씨는 회사원이에요?</li><li>네, 회사원이에요.</li></ul>	<ul><li>Misako, êtes-vous employée de bureau ?</li><li>Oui.</li></ul>

[sound:연구원이에요.mp3]	<ul><li>로버트 씨는 연구원이에요?</li><li>아니요, 기자예요.</li></ul>	<ul><li>Robert, êtes-vous chercheur ?</li><li>Non, je suis journaliste.</li></ul>

[sound:의사예요.mp3]	<ul><li>양양 씨는 의사예요?</li><li>네, 의사예요.</li></ul>	<ul><li>Yangyang, êtes-vous médecin ?</li><li>Oui.</li></ul>
