tags: active-korean unit-3-restaurant


## 어휘

[sound:식당.mp3]	식당	restaurant
[sound:어서_오세요.mp3]	어서 오세요	bienvenue
[sound:뭐_드릴까요.mp3]	뭐 드릴까요?	que désirez-vous ?
[sound:잠깐만_기다리세요.mp3]	잠깐만 기다리세요	une minute, un instant s'il vous plaît<hr/>ne quittez pas<p class="small">(au téléphone)</p>
[sound:여기_있어요.mp3]	여기 있어요	voilà
[sound:여기요.mp3]	여기요	excusez-moi / svp<p class="small">(pour appeler un serveur)</p>
[sound:주문.mp3]	주문	commande
[sound:공부.mp3]	공부	études
[sound:일.mp3]	일	travail
[sound:열심히.mp3]	열심히	dur (adv), avec zèle, ardemment, sérieusement
[sound:맛있게_드세요.mp3]	맛있게 드세요	bon appétit !

[sound:주다_드리다.mp3]	주다 (드리다)	donner
[sound:가다.mp3]	가다	aller
[sound:앉다.mp3]	앉다	s'asseoir
[sound:쉬다.mp3]	쉬다	se reposer
[sound:읽다.mp3]	읽다	lire
[sound:오다.mp3]	오다	venir
[sound:기다리다.mp3]	기다리다	attendre
[sound:쓰다.mp3]	쓰다	écrire
[sound:공부하다.mp3]	공부(를 )하다	étudier, faire des études
[sound:일하다.mp3]	일(을 )하다	travailler
[sound:보다.mp3]	보다	voir, regarder
[sound:배고프다.mp3]	배고프다	avoir faim
[sound:먹다_드시다.mp3]	먹다 (드시다)	manger
[sound:목이_마르다.mp3]	목이 마르다	avoir soif
[sound:마시다.mp3]	마시다	boire
[sound:주문하다.mp3]	주문하다	commander

[sound:주세요.mp3]	<table id="notes"><tr><th>(저는) 주세요</th></tr><tr><td>주다</td></tr></table>	donnez(-moi)<p class="small">(s'il vous plaît)</p>
[sound:쓰세요.mp3]	<table id="notes"><tr><th>쓰세요</th></tr><tr><td>쓰다</td></tr></table>	écrivez<p class="small">(s'il vous plaît)</p>
[sound:읽으세요.mp3]	<table id="notes"><tr><th>읽으세요</th></tr><tr><td>읽다</td></tr></table>	lisez<p class="small">(s'il vous plaît)</p>
[sound:앉으세요.mp3]	<table id="notes"><tr><th>앉으세요</th></tr><tr><td>앉다</td></tr></table>	asseyez-vous<p class="small">(s'il vous plaît)</p>
[sound:열심히_일하세요.mp3]	열심히 일하세요	travaillez dur !<p class="small">(s'il vous plaît)</p>

[sound:음식.mp3]	음식	nourriture, plat
[sound:불.mp3]	불	feu
[sound:고기.mp3]	고기	viande
[sound:불고기.mp3]	불고기	bulgogi
[sound:라면.mp3]	라면	ramyeon<p class="small">(~ ramen japonais)</p>
[sound:냉면.mp3]	냉면	naengmyeon<p class="small">(nouilles froides)</p>
