tags: active-korean unit-4-shopping


## 어휘

[sound:쇼핑.mp3]	쇼핑	shopping
[sound:시계.mp3]	시계	réveil, montre
[sound:우산.mp3]	우산	parapluie
[sound:볼펜.mp3]	볼펜	stylo-bille
[sound:연필.mp3]	연필	crayon
[sound:휴대전화.mp3]	휴대전화	téléphone portable
[sound:담배.mp3]	담배	cigarette, tabac
[sound:한국어.mp3]	한국어	coréen<p class="small">(langue)</p>
[sound:사전.mp3]	사전	dictionnaire
[sound:신문.mp3]	신문	journal
[sound:가방.mp3]	가방	sac
[sound:카메라.mp3]	카메라	appareil photo
[sound:치마.mp3]	치마	jupe
[sound:책.mp3]	책	livre
[sound:공책.mp3]	공책	cahier
[sound:모자.mp3]	모자	chapeau
[sound:신발.mp3]	신발	chaussures<p class="small">(발: pied)</p>
[sound:구두.mp3]	구두	chaussures (habillées)
[sound:바지.mp3]	바지	pantalon
[sound:돈.mp3]	돈	argent (monnaie)

[sound:비싸다.mp3]	비싸다	être cher
[sound:너무_비싸요.mp3]	너무 비싸요	c'est trop cher
[sound:좀_깎아_주세요.mp3]	좀 깎아 주세요	faites-moi un prix, svp
[sound:하나에_얼마예요.mp3]	하나에 얼마예요?	combien pour un (seul) ?
[sound:모두_얼마예요.mp3]	모두 얼마예요?	combien le tout ?

[sound:팔다.mp3]	팔다	vendre
[sound:많이_파세요.mp3]	많이 파세요	pour quitter un commerçant<p class="small">(litt. “vendez beaucoup”)</p>
[sound:몇_살이에요.mp3]	<ul><li>몇 살이에요?</li><li>스물한 살이에요.</li></ul>	<ul><li>Quel âge avez-vous ?</li><li>J'ai vingt-et-un ans.</li></ul>
[sound:가게.mp3]	가게	boutique, magasin

[sound:일_1.mp3]	일 (1)	un<p class="small">(cardinal <span class="em">sino-coréen</span>)</p>
[sound:이_2.mp3]	이 (2)	deux<p class="small">(cardinal <span class="em">sino-coréen</span>)</p>
[sound:삼_3.mp3]	삼 (3)	trois<p class="small">(cardinal <span class="em">sino-coréen</span>)</p>
[sound:사_4.mp3]	사 (4)	quatre<p class="small">(cardinal <span class="em">sino-coréen</span>)</p>
[sound:오_5.mp3]	오 (5)	cinq<p class="small">(cardinal <span class="em">sino-coréen</span>)</p>
[sound:육_6.mp3]	육 (6)	six<p class="small">(cardinal <span class="em">sino-coréen</span>)</p>
[sound:칠_7.mp3]	칠 (7)	sept<p class="small">(cardinal <span class="em">sino-coréen</span>)</p>
[sound:팔_8.mp3]	팔 (8)	huit<p class="small">(cardinal <span class="em">sino-coréen</span>)</p>
[sound:구_9.mp3]	구 (9)	neuf<p class="small">(cardinal <span class="em">sino-coréen</span>)</p>
[sound:십_10.mp3]	십 (10)	dix<p class="small">(cardinal <span class="em">sino-coréen</span>)</p>
[sound:백_100.mp3]	백 (100)	cent<p class="small">(cardinal <span class="em">sino-coréen</span>)</p>
[sound:천_1,000.mp3]	천 (1,000)	mille<p class="small">(cardinal <span class="em">sino-coréen</span>)</p>
[sound:만_10,000.mp3]	만 (10,000)	dix mille<p class="small">(cardinal <span class="em">sino-coréen</span>)</p>
[sound:십만_100,000.mp3]	십만 (100,000)	cent mille<p class="small">(cardinal <span class="em">sino-coréen</span>)</p>
[sound:백만_1,000,000.mp3]	백만 (1,000,000)	million<p class="small">(cardinal <span class="em">sino-coréen</span>)</p>
