tags: active-korean unit-5-daily-life


## 어휘

[sound:일상생활.mp3]	일상생활	vie quotidienne

[sound:공원.mp3]	공원	parc
[sound:산.mp3]	산	montagne
[sound:시장.mp3]	시장	marché
[sound:병원.mp3]	병원	hôpital
[sound:집.mp3]	집	maison

[sound:지금.mp3]	지금	maintenant, actuellement
[sound:오늘.mp3]	오늘	aujourd'hui
[sound:내일.mp3]	내일	demain
[sound:요즘.mp3]	요즘	ces derniers temps, ces jours-ci, dernièrement, récemment

[sound:피자.mp3]	피자	pizza
[sound:스파게티.mp3]	스파게티	spaghetti

[sound:하다.mp3]	하다	faire
[sound:만나다.mp3]	만나다	rencontrer
[sound:좋아하다.mp3]	좋아하다	aimer
[sound:사다.mp3]	사다	acheter
[sound:배우다.mp3]	배우다	apprendre
[sound:입다.mp3]	입다	porter (un vêtement), s'habiller
[sound:운동하다.mp3]	운동(을 )하다	faire du sport, des exercices (physiques), s'entraîner
[sound:청소하다.mp3]	청소(를 )하다	nettoyer, faire le ménage
[sound:빨래하다.mp3]	빨래(를 )하다	faire la lessive
[sound:가르치다.mp3]	가르치다	enseigner

[sound:영어.mp3]	영어	anglais<p class="small">(langue)</p>
[sound:날씨.mp3]	날씨	temps<p class="small">(météo)</p>
[sound:길.mp3]	길	route, chemin, voie
[sound:운동.mp3]	운동	sport, exercice (physique), entraînement
[sound:청소.mp3]	청소	propreté, nettoyage
[sound:빨래.mp3]	빨래	blanchisserie, lessive
[sound:텔레비전.mp3]	텔레비전	télévision
[sound:영화.mp3]	영화	film, cinéma
[sound:태권도.mp3]	태권도	taekwondo
[sound:질문.mp3]	질문	question

[sound:맛있다.mp3]	맛있다	être délicieux
[sound:따뜻하다.mp3]	따뜻하다	faire doux<p class="small">(météo, angl. “warm”)</p>
[sound:싸다.mp3]	싸다	ne pas être cher, être bon marché
[sound:좋다.mp3]	좋다	être bien, bon<p class="small">(sens appréciatif)</p>
[sound:복잡하다.mp3]	복잡하다	être compliqué, alambiqué, tortueux<hr/>être embouteillé, bondé
[sound:재미있다.mp3]	재미있다	être intéressant

[sound:어디.mp3]	어디	où
[sound:뭐.mp3]	뭐 [무엇]	que / quoi

[sound:안.mp3]	안	adverbe de négation : ne pas
[sound:그리고.mp3]	그리고	et<p class="small">(pour lier 2 phrases entre elles)</p>
[sound:아주.mp3]	아주	très


## 핵심 대화

[sound:날씨가_좋다.mp3]	날씨가 좋다	il fait beau<p class="small">(météo, litt. “le temps est beau”)</p>
[sound:날씨가_따뜻하다.mp3]	날씨가 따뜻하다	il fait doux<p class="small">(météo, litt. “le temps est doux”)</p>
[sound:길이_복잡하다.mp3]	길이 복잡하다	il y a un embouteillage<p class="small">(litt. “la route est bondée”)</p>

[sound:지금_뭐_해요.mp3]	<ul><li>지금 뭐 해요?</li><li>밥을 먹어요.</li></ul>	<ul><li>Qu'est-ce que tu fais maintenant ?</li><li>Je mange mon repas.</li></ul>

[sound:오늘_뭐_해요.mp3]	<ul><li>오늘 뭐 해요?</li><li>친구를 만나요.</li></ul>	<ul><li>Qu'est-ce que tu fais aujourd'hui ?</li><li>Je rencontre un ami.</li></ul>

[sound:어디에_가요.mp3]	<ul><li>어디에 가요?</li><li>공원에 가요.</li></ul>	<ul><li>Où vas-tu ?</li><li>Je vais au parc.</li></ul>

