tags: active-korean unit-5-daily-life

[sound:목욕.mp3]	목욕	bain
[sound:목욕탕.mp3]	목욕탕	bains publics
[sound:목욕하다.mp3]	목욕(을 )하다	prendre un bain, se baigner

[sound:헤어지다.mp3]	헤어지다	se séparer, rompre
[sound:헤어져요.mp3]	<table id="notes"><tr><th>헤어<span class="em">져</span>요<p class="small">(헤어<span class="em">지어</span>요)</p></th></tr><tr><td>헤어지다</td></tr></table>	il rompt

[sound:크다.mp3]	크다	être grand
[sound:커요.mp3]	<table id="notes"><tr><th><span class="em">커</span>요<p class="small">(<span class="em">ㅋ+어</span>요)</p></th></tr><tr><td>크다</td></tr></table>	il est grand

[sound:작다.mp3]	작다	être petit
[sound:작아요.mp3]	<table id="notes"><tr><th>작아요</th></tr><tr><td>작다</td></tr></table>	il est petit

[sound:많다.mp3]	많다	être nombreux
[sound:많아요.mp3]	<table id="notes"><tr><th>많아요</th></tr><tr><td>많다</td></tr></table>	ils sont nombreux

[sound:적다.mp3]	적다	être peu (nombreux)
[sound:적어요.mp3]	<table id="notes"><tr><th>적어요</th></tr><tr><td>적다</td></tr></table>	ils sont peu (nombreux)

[sound:길다.mp3]	길다	être long
[sound:길어요.mp3]	<table id="notes"><tr><th>길어요</th></tr><tr><td>길다</td></tr></table>	il est long

[sound:짧다.mp3]	짧다	être court
[sound:짧아요.mp3]	<table id="notes"><tr><th>짧아요</th></tr><tr><td>짧다</td></tr></table>	il est court

[sound:무겁다.mp3]	무겁다	être lourd
[sound:무거워요.mp3]	<table id="notes"><tr><th>무거<span class="em">워</span>요<p class="small">(무거<span class="em">우어</span>요)</p></th></tr><tr><td>무겁다</td></tr></table>	il est lourd

[sound:가볍다.mp3]	가볍다	être léger
[sound:가벼워요.mp3]	<table id="notes"><tr><th>가벼<span class="em">워</span>요<p class="small">(가벼<span class="em">우어</span>요)</p></th></tr><tr><td>가볍다</td></tr></table>	il est léger

[sound:높다.mp3]	높다	être haut
