tags: active-korean unit-6-time


## 어휘

[sound:시간.mp3]	시간	temps<hr/>heure<p class="small">(durée)</p>

[sound:오전.mp3]	오전<p class="small">(새벽 + 아침)</p>	matin, matinée, a.m.<p class="small">(전: avant)</p>
[sound:새벽.mp3]	새벽	aube (0-6h)
[sound:아침.mp3]	아침	matin (6-12h)<hr/>petit déjeuner
[sound:점심.mp3]	점심	déjeuner
[sound:정오.mp3]	정오<p class="small">(낮 열두 시)</p>	midi (pile)
[sound:오후.mp3]	오후<p class="small">(낮 + 저녁 + 밤)</p>	après-midi, p.m.<p class="small">(후: après)</p>
[sound:낮.mp3]	낮	après-midi (12-18h)
[sound:저녁.mp3]	저녁	soir (18-21h)<hr/>dîner
[sound:밤.mp3]	밤	nuit (21-24h)
[sound:자정.mp3]	자정<p class="small">(밤 열두 시)</p>	minuit (pile)

[sound:일찍.mp3]	일찍	tôt
[sound:늦게.mp3]	늦게	tard
[sound:늦다.mp3]	늦다	être en retard

[sound:반.mp3]	반	moitié, demi
[sound:쯤.mp3]	N-쯤	environ, vers, à peu près
[sound:언제.mp3]	언제	quand

[sound:요일.mp3]	요일	jour<p class="small">(de la semaine)</p>
[sound:월요일.mp3]	월요일	lundi
[sound:화요일.mp3]	화요일	mardi
[sound:수요일.mp3]	수요일	mercredi
[sound:목요일.mp3]	목요일	jeudi
[sound:금요일.mp3]	금요일	vendredi
[sound:토요일.mp3]	토요일	samedi
[sound:일요일.mp3]	일요일	dimanche

[sound:그제_그저께.mp3]	그제<hr/>그저께	avant-hier
[sound:어제.mp3]	어제	hier
[sound:모레.mp3]	모레	après-demain

[sound:주말.mp3]	주말	week-end<p class="small">(주: semaine, 말: fin)</p>
[sound:주중.mp3]	주중	en semaine<p class="small">(주: semaine, 중: en cours)</p>
[sound:지난_주.mp3]	지난 주	la semaine dernière
[sound:이번_주.mp3]	이번 주	cette semaine
[sound:다음_주.mp3]	다음 주	la semaine prochaine
[sound:이번_주_토요일에.mp3]	이번 주 토요일에	ce samedi
[sound:다음_주_주말에.mp3]	다음 주 주말에	le week-end prochain
[sound:다음_주_월요일에.mp3]	다음 주 월요일에	lundi prochain
[sound:매주_화요일에.mp3]	매주 화요일에<hr/>화요일마다	chaque mardi

[sound:지난_달.mp3]	지난 달	le mois dernier
[sound:이번_달.mp3]	이번 달	ce mois
[sound:다음_달.mp3]	다음 달	le mois prochain
[sound:월말.mp3]	월말	fin de mois<p class="small">(월: mois, 말: fin)</p>

[sound:작년.mp3]	작년	l'année dernière
[sound:올해.mp3]	올해	cette année
[sound:내년.mp3]	내년	l'année prochaine
[sound:연말.mp3]	연말	fin d'année<p class="small">(연: année, 말: fin)</p>

[sound:십_분후.mp3]	십 분후	dans 10 minutes

[sound:방학.mp3]	방학	vacances<p class="small">(scolaires)</p>
[sound:휴가.mp3]	휴가	vacances, congés<p class="small">(salarié)</p>

[sound:나.mp3]	나	je
[sound:백화점.mp3]	백화점	grand magasin

[sound:식사.mp3]	식사	repas
[sound:식사하다.mp3]	식사하다	manger
[sound:식사하세요.mp3]	<table id="notes"><tr><th>식사하세요</th></tr><tr><td>식사하다</td></tr></table>	à table !<p class="small">(litt. “mangez s'il vous plaît”)</p>
[sound:아침을_먹어요.mp3]	아침을 먹어요<hr/>아침 밥을 먹어요<hr/>아침 식사를 먹어요	il petit-déjeune

[sound:힘들다.mp3]	힘들다	être dur<p class="small">(axé sur la quantité d'effort à développer, notamment physique ; utilisé quand l'objectif est réalisable dès lors que l'on fait de son mieux)</p>
[sound:힘들어요.mp3]	<table id="notes"><tr><th>힘들어요</th></tr><tr><td>힘들다</td></tr></table>	il est dur<p class="small">(notamment physiquement)</p>

[sound:요가.mp3]	요가	yoga
[sound:양고기.mp3]	양고기	(viande de) mouton, agneau
[sound:바다.mp3]	바다	mer, océan


## 핵심 대화

[sound:지금_몇_시예요.mp3]	<ul><li>지금 몇 시예요?</li><li>한 시 반이에요.</li></ul>	<ul><li>Quelle heure est-il ?</li><li>Il est une heure et demie.</li></ul>

[sound:두_시_이십_분이에요.mp3]	두 시 이십 분이에요	il est deux heures vingt

[sound:오늘_무슨_요일이에요.mp3]	<ul><li>오늘 무슨 요일이에요?</li><li>화요일이에요.</li></ul>	<ul><li>Aujourd'hui, quel jour (de la semaine) sommes-nous ?</li><li>Nous sommes mardi.</li></ul>

[sound:몇_시에_일어나요.mp3]	<ul><li>몇 시에 일어나요?</li><li>일곱 시에 일어나요.</li></ul>	<ul><li>À quelle heure te lèves-tu ?</li><li>Je me lève à 7h.</li></ul>

[sound:몇_시에_밥을_먹어요.mp3]	<ul><li>몇 시에 밥을 먹어요?</li><li>여덟 시쯤에 먹어요.</li></ul>	<ul><li>À quelle heure manges-tu ?</li><li>Je mange vers 8h.</li></ul>


[sound:무슨_요일에_태권도를_배워요.mp3]	<ul><li>무슨 요일에 태권도를 배워요?</li><li>월요일에 태권도를 배워요.</li></ul>	<ul><li>Quel jour apprends-tu le taekwondo ?</li><li>J'ai cours de taekwondo le lundi.</li></ul>

[sound:화요일에도_태권도를_배워요.mp3]	<ul><li>화요일에도 태권도를 배워요?</li><li>아니요, 화요일에는 태권도를 안 배워요.</li></ul>	<ul><li>As-tu aussi cours de taekwondo le mardi ?</li><li>Non.</li></ul>

[sound:내일_학교에_가요.mp3]	<ul><li>내일 학교에 가요?</li><li>나는 학교에 가지만 애니 씨는 안 가요.</li></ul>	<ul><li>Vas-tu à l'école demain ?</li><li>Moi oui mais pas Annie.</li></ul>

[sound:수요일에_뭐_해요.mp3]	<ul><li>수요일에 뭐 해요?</li><li>수요일에는 학교에 가요.</li><li>목요일에도 학교에 가요?</li><li>아니요, 수요일에는 학교에 가지만 목요일에는 학교에 안 가요.</li></ul>	<ul><li>Qu'est-ce que tu fais le mercredi ?</li><li>Le mercredi je vais à l'école.</li><li>Vas-tu aussi à l'école le jeudi ?</li><li>Non, je vais à l'école le mercredi mais pas le jeudi.</li></ul>


## 듣기

[sound:6시_20분에_일어나요.mp3]	<ul><li>몇 시에 일어나요?</li><li>6시 20분에 일어나요.</li></ul>	<ul><li>À quelle heure vous réveillez-vous ?</li><li>Je me réveille à 6h20.</li></ul>

[sound:2시_45분에_영어를_가르쳐요.mp3]	<ul><li>몇 시에 영어를 가르쳐요?</li><li>2시 45분에 영어를 가르쳐요.</li></ul>	<ul><li>À quelle heure enseignez-vous l'anglais ?</li><li>J'enseigne l'anglais à 14h45.</li></ul>

[sound:4시_반에_친구를_만나요.mp3]	<ul><li>몇 시에 친구를 만나요?</li><li>4시 반에 친구를 만나요.</li></ul>	<ul><li>À quelle heure rencontrez-vous un ami ?</li><li>Je rencontre un ami à 16h30.</li></ul>

[sound:9시_25분에_영화를_봐요.mp3]	<ul><li>몇 시에 영화를 봐요?</li><li>9시 25분에 영화를 봐요.</li></ul>	<ul><li>À quelle heure regardez-vous un film ?</li><li>Je regarde un film à 21h25.</li></ul>


[sound:나는_5시_40분에_일어나요.mp3]	나는 5시 40분에 일어나요.	Je me lève à 5h40.

[sound:8시_20분쯤에_학교에_가요.mp3]	8시 20분쯤에 학교에 가요. 그리고 한국어를 공부해요.	Je vais à l'école vers 8h20. Et j'étudie le coréen.

