tags: active-korean unit-7-appointment


## 어휘

[sound:약속.mp3]	약속	rendez-vous<hr/>promesse, engagement
[sound:약속이_있다.mp3]	약속이 있다	avoir un rendez-vous

[sound:시간이_있다.mp3]	시간이 있다	avoir le temps
[sound:시간이_없다.mp3]	시간이 없다	ne pas avoir le temps

[sound:도서관.mp3]	도서관	bibliothèque
[sound:책방_서점.mp3]	책방<hr/>서점	librairie
[sound:극장.mp3]	극장	(salle de) théâtre, (salle de) cinéma
[sound:시청.mp3]	시청	hôtel de ville
[sound:우체국.mp3]	우체국	bureau de poste
[sound:커피숍.mp3]	커피숍	coffee shop
[sound:노래.mp3]	노래	chanson
[sound:노래방.mp3]	노래방	(salle de) karaoké
[sound:PC방.mp3]	PC방	cybercafé
[sound:미장원.mp3]	미장원	salon de beauté

[sound:생일.mp3]	생일	anniversaire
[sound:파티.mp3]	파티	fête
[sound:추석.mp3]	추석	Chuseok<p class="small">(fête des récoltes, l'une des plus importantes fêtes traditionnelles coréennes)</p>
[sound:설날.mp3]	설날	Seollal<p class="small">(nouvel an lunaire, l'une des plus importantes fêtes traditionnelles coréennes)</p>

[sound:앞.mp3]	앞	devant, au-devant de, en face de
[sound:일본어_일어.mp3]	일본어<hr/>일어	japonais<p class="small">(langue)</p>
[sound:케이크.mp3]	케이크	gâteau
[sound:조금.mp3]	조금	peu, un peu
[sound:들.mp3]	N-들	suffixe de pluriel
[sound:드라마.mp3]	드라마	drama
[sound:많이.mp3]	많이	beaucoup
[sound:빵집.mp3]	빵집	boulangerie
[sound:선물.mp3]	선물	cadeau
[sound:만들다.mp3]	만들다	faire, construire
[sound:수첩.mp3]	수첩	agenda
[sound:달력.mp3]	달력	calendrier
[sound:꽃가게.mp3]	꽃가게	magasin de fleurs

[sound:시험.mp3]	시험	examen
[sound:시험을_보다.mp3]	시험(을) 보다	passer un examen

[sound:숙제.mp3]	숙제	devoirs (scolaires)
[sound:숙제하다.mp3]	숙제하다	faire ses devoirs (scolaires)

