tags: active-korean unit-8-locations-directions


## 어휘

[sound:위치.mp3]	위치	emplacement
[sound:방향.mp3]	방향	direction

[sound:뒤.mp3]	뒤	derrière
[sound:옆.mp3]	옆	à côté de
[sound:가운데.mp3]	가운데	au milieu de, au centre de
[sound:사이.mp3]	사이	entre
[sound:오른쪽.mp3]	오른쪽	à droite de
[sound:왼쪽.mp3]	왼쪽	à gauche de
[sound:위.mp3]	위	sur, au-dessus de
[sound:밑_아래.mp3]	밑<hr/>아래	sous, en dessous de
[sound:안_속.mp3]	안<hr/>속	dans, au-dedans, à l'intérieur de
[sound:밖.mp3]	밖	dehors, au-dehors, à l'extérieur de
[sound:근처.mp3]	근처	à proximité, alentour, autour, dans les environs
[sound:이쪽으로.mp3]	이쪽으로	par ici<p class="small">(이쪽: ce côté-ci, (으)로: direction)</p>

[sound:제_앞에.mp3]	제 앞에	devant moi, en face de moi
[sound:제_뒤에.mp3]	제 뒤에	derrière moi
[sound:제_옆에.mp3]	제 옆에	à côté de moi
[sound:제_오른쪽에.mp3]	제 오른쪽에	à ma droite
[sound:제_왼쪽에.mp3]	제 왼쪽에	à ma gauche

[sound:오른쪽_옆에.mp3]	오른쪽 옆에	du côté droit
[sound:왼쪽_옆에.mp3]	왼쪽 옆에	du côté gauche

[sound:윗층.mp3]	윗층	étage au-dessus, à l'étage
[sound:아래층.mp3]	아래층	étage en dessous, en bas

[sound:으로.mp3]	(으)로	direction vers un endroit
[sound:앞으로_가세요.mp3]	앞으로 가세요	avancez (tout droit)
[sound:오른쪽으로_가세요.mp3]	오른쪽으로 가세요	allez à droite
[sound:왼쪽으로_가세요.mp3]	왼쪽으로 가세요	allez à gauche

[sound:세탁소.mp3]	세탁소	blanchisserie, teinturier, pressing
[sound:세탁실.mp3]	세탁실	laverie, buanderie
[sound:약국.mp3]	약국	pharmacie
[sound:호텔.mp3]	호텔	hôtel
[sound:화장.mp3]	화장	maquillage
[sound:화장실.mp3]	화장실	toilettes, wc<p class="small">(pièce)</p>
[sound:서울대학교.mp3]	서울대학교	Université nationale de Séoul
[sound:역.mp3]	역	gare, station
[sound:지하철역.mp3]	지하철역	station de métro
[sound:방.mp3]	방	chambre, pièce
[sound:교실.mp3]	교실	salle de classe
[sound:사무실.mp3]	사무실	bureau<p class="small">(pièce)</p>
[sound:제주도.mp3]	제주(특별자치도)<hr/><img src="제주도.svg">	île de Jeju<p class="small">(province autonome spéciale)</p><ul class="small"><li>île volcanique située à 85 km au sud de la péninsule</li></ul>
[sound:인천.mp3]	인천(광역시)<hr/><img src="인천.svg">	Incheon<p class="small">(ville métropolitaine)</p><ul class="small"><li>ville portuaire située à 50 km à l'ouest de la capitale Séoul, sur la mer Jaune</li><li>3<sup>ème</sup> ville la plus peuplée de Corée (après Séoul et Busan)</li><li>2<sup>ème</sup> plus grand port maritime de Corée (après celui de Busan)</li><li>1<sup>er</sup> aéroport de la Corée du Sud</li></ul>

[sound:옷장.mp3]	옷장	garde-robe, penderie
[sound:냉장.mp3]	냉장	réfrigération
[sound:냉장고.mp3]	냉장고	réfrigérateur
[sound:침대.mp3]	침대	lit
[sound:소파.mp3]	소파	canapé
[sound:의자.mp3]	의자	chaise
[sound:책상.mp3]	책상	table, bureau
[sound:컴퓨터.mp3]	컴퓨터	ordinateur
[sound:식탁.mp3]	식탁	table à manger
[sound:칠판.mp3]	칠판	tableau<p class="small">(pour écrire)</p>
[sound:상자.mp3]	상자	boîte, caisse

[sound:야채.mp3]	야채	légume
[sound:아이스크림.mp3]	아이스크림	glace, crème glacée
[sound:코트.mp3]	코트	manteau
[sound:미터.mp3]	미터	mètre<p class="small">(unité de distance)</p>
[sound:고양이.mp3]	고양이	chat
[sound:꽃병.mp3]	꽃병	vase<p class="small">(꽃: fleur, 병: bouteille)</p>

[sound:자동차.mp3]	자동차<hr/>차	voiture, automobile
[sound:버스.mp3]	버스	bus
[sound:지하철_전철.mp3]	지하철<hr/>전철	métro<p class="small">(지하: souterrain, 철: fer (métal))</p>
[sound:비행기.mp3]	비행기	avion
[sound:걸리다.mp3]	걸리다	prendre<p class="small">(le temps nécessaire)</p>

[sound:건너다.mp3]	건너다	traverser
[sound:건너세요.mp3]	<table id="notes"><tr><th>건너세요</th></tr><tr><td>건너다</td></tr></table>	traversez<p class="small">(s'il vous plaît)</p>
[sound:건너편.mp3]	건너편	en face de<p class="small">(de l'autre côté)</p>
[sound:맞은편.mp3]	맞은편	en face de<p class="small">(en vis-à-vis)</p>
[sound:육교.mp3]	육교	passerelle
[sound:지하도.mp3]	지하도	passage souterrain
[sound:횡단보도.mp3]	횡단보도	passage piéton
[sound:사거리.mp3]	사거리	intersection, carrefour<p class="small">(사: 4, 거리: rue)</p>
[sound:육교를_건너세요.mp3]	육교를 건너세요	prenez / utilisez la passerelle
[sound:지하도를_건너세요.mp3]	지하도를 건너세요	prenez / utilisez le passage souterrain
[sound:횡단보도를_건너세요.mp3]	횡단보도를 건너세요	prenez le passage piéton / traversez au passage piéton

[sound:지우개.mp3]	지우개	gomme
[sound:지우다.mp3]	지우다	effacer

[sound:다르다.mp3]	다르다	être différent
