tags: active-korean unit-9-phone-call


## 어휘

[sound:전화번호가_몇_번이에요.mp3]	전화번호가 몇 번이에요?<hr/>전화번호 좀 가르쳐 주세요<hr/>전화번호 좀 알려 주세요	Quel est votre numéro de téléphone svp ?

[sound:잠깐만_기다리세요.mp3]	잠깐만 기다리세요<hr/>잠깐만 기다려 주세요	une minute, un instant s'il vous plaît<hr/>ne quittez pas<p class="small">(au téléphone)</p>

[sound:전화하다.mp3]	전화(를 )하다<hr/>전화(를 )걸다	téléphoner
[sound:전화를_끊다.mp3]	전화를 끊다	raccrocher<p class="small">(au téléphone)</p>
[sound:전화를_받다.mp3]	전화를 받다	recevoir un appel

[sound:메시지.mp3]	메시지	message
[sound:메시지를_남기다.mp3]	메시지를 남기다	laisser un message

[sound:이메일.mp3]	이메일	email / courriel
[sound:이메일_주소.mp3]	이메일 주소	adresse email
[sound:이메일을_보내라.mp3]	이메일을 보내라	envoyer un email

[sound:편지.mp3]	편지	lettre

[sound:그런데요.mp3]	(네,) 그런데요	(oui,) c'est ça / tout à fait
[sound:전데요.mp3]	(네,) 전데요	(oui,) c'est moi
[sound:아닌데요.mp3]	아닌데요	(non,) ce n'est pas ça

[sound:부엌.mp3]	부엌	cuisine<p class="small">(pièce)</p>
[sound:문.mp3]	문	porte
[sound:창문.mp3]	창문	fenêtre
[sound:가위바위보.mp3]	가위바위보	pierre/feuille/ciseaux<p class="small">(가위: ciseaux, 바위: pierre)</p>
[sound:아직.mp3]	아직	(pas) encore, toujours (au sens de “still” pas “always”)
[sound:빨리.mp3]	빨리	rapidement, vite

[sound:바꾸다.mp3]	바꾸다	changer / échanger, transformer, modifier
[sound:바꿔요.mp3]	<table id="notes"><tr><th>바<span class="em">꿔</span>요<p class="small">(바<span class="em">꾸어</span>요)</p></th></tr><tr><td>바꾸다</td></tr></table>	il change / échange, transforme, modifie

[sound:받다.mp3]	받다	recevoir
[sound:받아요.mp3]	<table id="notes"><tr><th>받아요<p class="small">(régulier)</p></th></tr><tr><td>받다</td></tr></table>	il reçoit

[sound:끊다.mp3]	끊다	cesser, interrompre, raccrocher
[sound:끊어요.mp3]	<table id="notes"><tr><th>끊어요</th></tr><tr><td>끊다</td></tr></table>	il cesse, interrompt, raccroche

[sound:남기다.mp3]	남기다	laisser
[sound:남겨요.mp3]	<table id="notes"><tr><th>남<span class="em">겨</span>요<p class="small">(남<span class="em">기어</span>요)</p></th></tr><tr><td>남기다</td></tr></table>	il laisse

[sound:보내다.mp3]	보내다	envoyer
[sound:보내요.mp3]	<table id="notes"><tr><th>보<span class="em">내</span>요<p class="small">(보<span class="em">내어</span>요)</p></th></tr><tr><td>보내다</td></tr></table>	il envoie

[sound:준비.mp3]	준비	préparation
[sound:준비하다.mp3]	준비하다	préparer

[sound:회의.mp3]	회의	réunion
[sound:회의하다.mp3]	회의하다	être en réunion

[sound:음악.mp3]	음악	musique
[sound:노래하다_노래부르다.mp3]	노래하다<hr/>노래(를 )부르다	chanter
[sound:불러요.mp3]	<table id="notes"><tr><th><span class="em">불러</span>요<p class="small">(<span class="em">부ㄹ+어</span>요)</p></th></tr><tr><td>노래부르다</td></tr></table>	il chante

[sound:춤.mp3]	춤	danse
[sound:춤추다.mp3]	춤(을 )추다	danser
[sound:춤춰요.mp3]	<table id="notes"><tr><th>춤<span class="em">춰</span>요<p class="small">(춤<span class="em">추어</span>요)</p></th></tr><tr><td>춤추다</td></tr></table>	il danse

[sound:열다.mp3]	열다	ouvrir
[sound:닫다.mp3]	닫다	fermer
[sound:닫아요.mp3]	<table id="notes"><tr><th>닫아요<p class="small">(régulier)</p></th></tr><tr><td>닫다</td></tr></table>	il ferme
[sound:창문을_열다.mp3]	창문을 열다	ouvrir une fenêtre
[sound:문을_닫다.mp3]	문을 닫다	fermer une porte

[sound:그림.mp3]	그림	dessin
[sound:그리다.mp3]	(그림을) 그리다	dessiner
[sound:그려요.mp3]	<table id="notes"><tr><th>그<span class="em">려</span>요<p class="small">(그<span class="em">리어</span>요)</p></th></tr><tr><td>그리다</td></tr></table>	il dessine


## 핵심 대화

[sound:이지요_지요.mp3]	N-(이)지요 / N-(이)죠<hr/>V-지요 / V-죠	expression 1) soit d'une conviction forte du locuteur 2) soit d'une référence à un fait déjà connu du locuteur et de son interlocuteur<p class="small">(peut être rendu par “n'est-ce pas ?”)</p>

[sound:거기_애니_씨_집이지요.mp3]	<ul><li>여보세요. 거기 애니 씨 집이지요?</li><li>네, 그런데요. 실례지만 누구세요?</li></ul>	<ul><li>Allô, je suis bien chez Annie n'est-ce pas ?</li><li>Oui, c'est ça. Excusez-moi mais qui est à l'appareil ?</li></ul>

[sound:아_어_주세요.mp3]	ㅗ,ㅏ+아 주세요<hr/>_+어 주세요<hr/>_해 주세요	formule de politesse afin de demander de l'aide<p class="small">(“pouvez-vous _ svp ?” ; exprime l'idée que l'action demandée bénéficie au locuteur ou à l'interlocuteur)</p>

[sound:사_주세요.mp3]	<table id="notes"><tr><th><span class="em">사</span> 주세요<p class="small">(<span class="em">사아</span> 주세요)</p></th></tr><tr><td>사다</td></tr></table>	il achète
[sound:만들어_주세요.mp3]	<table id="notes"><tr><th>만들어 주세요</th></tr><tr><td>만들다</td></tr></table>	il fait, il construit
[sound:와_주세요.mp3]	<table id="notes"><tr><th><span class="em">와</span> 주세요<p class="small">(<span class="em">오아</span> 주세요)</p></th></tr><tr><td>오다</td></tr></table>	il vient
[sound:준비해_주세요.mp3]	<table id="notes"><tr><th>준비<span class="em">해</span> 주세요</th></tr><tr><td>준비하다</td></tr></table>	il prépare


[sound:애니_씨_좀_바꿔_주세요.mp3]	<ul><li>애니 씨 좀 바꿔 주세요.</li><li>네, 잠깐만 기다리세요. 애니 씨, 전화 받으세요.</li></ul>	<ul><li>Pouvez-vous me passer Annie svp ?</li><li>Oui, ne quittez pas. Annie, un appel pour toi !</li></ul>

[sound:재민_씨_좀_바꿔_주세요.mp3]	<ul><li>재민 씨 좀 바꿔 주세요.</li><li>지금 자고 있어요.</li><li>네, 알겠습니다. 안녕히 계세요.</li></ul>	<ul><li>Pouvez-vous me passer Jaemin svp ?</li><li>Maintenant, Jaemin est en train de dormir.</li><li>Oui, je comprends. Au revoir.</li></ul>

[sound:고_있다.mp3]	V-고 있다	être en train de _<p class="small">(forme progressive)</p>

[sound:가고_있어요.mp3]	<table id="notes"><tr><th>가고 있어요</th></tr><tr><td>가다</td></tr></table>	il est en train d'aller
[sound:먹고_있어요.mp3]	<table id="notes"><tr><th>먹고 있어요</th></tr><tr><td>먹다</td></tr></table>	il est en train de manger
[sound:읽고_있어요.mp3]	<table id="notes"><tr><th>읽고 있어요</th></tr><tr><td>읽다</td></tr></table>	il est en train de lire
[sound:쉬고_있어요.mp3]	<table id="notes"><tr><th>쉬고 있어요</th></tr><tr><td>쉬다</td></tr></table>	il est en train de se reposer
[sound:일하고_있어요.mp3]	<table id="notes"><tr><th>일하고 있어요</th></tr><tr><td>일하다</td></tr></table>	il est en train de travailler

[sound:거기_소피아_씨_집이지요.mp3]	<ul><li>여보세요. 거기 소피아 씨 집이지요?</li><li>네, 그런데요. 실례지만 누구세요?</li><li>전는 선우예요.</li><li>잠깐만 기다리세요. 소피아 씨, 전화 받으세요.</li></ul>	<ul><li>Allô, je suis bien chez Sophia, n'est-ce pas ?</li><li>Oui, tout à fait. Excusez-moi mais qui est à l'appareil ?</li><li>Je suis Seonwoo.</li><li>Ne quittez pas. Sophia, un appel pour toi !</li></ul>

[sound:피터_씨_집이지요.mp3]	<ul><li>여보세요, 피터 씨 집이지요?</li><li>네, 그런데요.</li><li>피터 씨 좀 바꿔 주세요.</li><li>지금 샤워하고 있어요.</li><li>네, 알겠습니다. 안녕히 계세요.</li></ul>	<ul><li>Allô, je suis bien chez Peter ?</li><li>Oui, tout à fait.</li><li>Pouvez-vous me passer Peter svp ?</li><li>Maintenant, Peter est sous la douche.</li><li>Oui, je comprends. Au revoir.</li></ul>


## 듣기

[sound:재민_씨_집이지요.mp3]	<ul><li>여보세요. 재민 씨 집이지요?</li><li>네, 그런데요.</li></ul>	<ul><li>Allô, je suis bien chez Jaemin, n'est-ce pas ?</li><li>Oui, tout à fait.</li></ul>

