tags: active-korean 한국어학원

#[sound:~~~어요.mp3]	~~~어요<hr/>~~~세요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">xxx다</div><div class="불규칙">(“?” 불규칙)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">***십니다</div>***습니다</div><div class="해요체"><div class="높임">~~~세요</div>~~~어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">+++셨습니다</div>+++었습니다</div><div class="해요체"><div class="높임">¤¤¤셨어요</div>¤¤¤었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">xxx실 겁니다</div>xxx 겁니다</div><div class="해요체"><div class="높임">xxx실 거예요</div>xxx 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">xxx시고</div>xxx고</div><div class="연결"><div class="높임">xxx시지만</div>xxx지만</div><div class="연결"><div class="높임">xxx시는데</div>xxx는데</div><div class="연결"><div class="높임">xxx시면</div>xxx면</div><div class="연결"><div class="높임">xxx셔서</div>xxx서</div></div></div>	il --------<p class="small">(해요체, registre informel poli)</p>

[sound:수고.mp3]	수고	(dur) travail, labeur
[sound:수고하다.mp3]	수고하다	travailler dur, se donner de la peine
[sound:수고해요.mp3]	수고해요<hr/>수고하세요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">수고하다</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">수고하십니다</div>수고합니다</div><div class="해요체"><div class="높임">수고하세요</div>수고해요</div></div><div class="과거"><div class="하십시오체"><div class="높임">수고하셨습니다</div>수고했습니다</div><div class="해요체"><div class="높임">수고하셨어요</div>수고했어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">수고하실 겁니다</div>수고할 겁니다</div><div class="해요체"><div class="높임">수고하실 거예요</div>수고할 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">수고하시고</div>수고하고</div><div class="연결"><div class="높임">수고하시지만</div>수고하지만</div><div class="연결"><div class="높임">수고하시는데</div>수고하는데</div><div class="연결"><div class="높임">수고하시면</div>수고하면</div><div class="연결"><div class="높임">수고하셔서</div>수고해서</div></div></div>	il travaille dur, il se donne de la peine<p class="small">(해요체, registre informel poli)</p>

[sound:잘해요.mp3]	잘해요<hr/>잘하세요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">잘하다</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">잘하십니다</div>잘합니다</div><div class="해요체"><div class="높임">잘하세요</div>잘해요</div></div><div class="과거"><div class="하십시오체"><div class="높임">잘하셨습니다</div>잘했습니다</div><div class="해요체"><div class="높임">잘하셨어요</div>잘했어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">잘하실 겁니다</div>잘할 겁니다</div><div class="해요체"><div class="높임">잘하실 거예요</div>잘할 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">잘하시고</div>잘하고</div><div class="연결"><div class="높임">잘하시지만</div>잘하지만</div><div class="연결"><div class="높임">잘하시는데</div>잘하는데</div><div class="연결"><div class="높임">잘하시면</div>잘하면</div><div class="연결"><div class="높임">잘하셔서</div>잘해서</div></div></div>	il est habile, compétent, bon<p class="small">(해요체, registre informel poli)</p>

[sound:열어요.mp3]	열어요<hr/><span class="불규칙">여</span>세요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">열다</div><div class="불규칙">(“ㄹ” 불규칙)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">여십니다</div>엽니다</div><div class="해요체"><div class="높임">여세요</div>열어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">여셨습니다</div>열었습니다</div><div class="해요체"><div class="높임">여셨어요</div>열었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">여실 겁니다</div>열 겁니다</div><div class="해요체"><div class="높임">여실 거예요</div>열 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">여시고</div>열고</div><div class="연결"><div class="높임">여시지만</div>열지만</div><div class="연결"><div class="높임">여시는데</div>여는데</div><div class="연결"><div class="높임">여시면</div>열면</div><div class="연결"><div class="높임">여셔서</div>열어서</div></div></div>	il ouvre<p class="small">(해요체, registre informel poli)</p>

[sound:팔아요.mp3]	팔아요<hr/><span class="불규칙">파</span>세요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">팔다</div><div class="불규칙">(“ㄹ” 불규칙)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">파십니다</div>팝니다</div><div class="해요체"><div class="높임">파세요</div>팔아요</div></div><div class="과거"><div class="하십시오체"><div class="높임">파셨습니다</div>팔았습니다</div><div class="해요체"><div class="높임">파셨어요</div>팔았어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">파실 겁니다</div>팔 겁니다</div><div class="해요체"><div class="높임">파실 거예요</div>팔 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">파시고</div>팔고</div><div class="연결"><div class="높임">파시지만</div>팔지만</div><div class="연결"><div class="높임">파시는데</div>파는데</div><div class="연결"><div class="높임">파시면</div>팔면</div><div class="연결"><div class="높임">파셔서</div>팔아서</div></div></div>	il vend<p class="small">(해요체, registre informel poli)</p>

[sound:힘들어요.mp3]	힘들어요<hr/>힘<span class="불규칙">드</span>세요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">힘들다</div><div class="불규칙">(“ㄹ” 불규칙)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">힘드십니다</div>힘듭니다</div><div class="해요체"><div class="높임">힘드세요</div>힘들어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">힘드셨습니다</div>힘들었습니다</div><div class="해요체"><div class="높임">힘드셨어요</div>힘들었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">힘드실 겁니다</div>힘들 겁니다</div><div class="해요체"><div class="높임">힘드실 거예요</div>힘들 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">힘드시고</div>힘들고</div><div class="연결"><div class="높임">힘드시지만</div>힘들지만</div><div class="연결"><div class="높임">힘드신데</div>힘든데</div><div class="연결"><div class="높임">힘드시면</div>힘들면</div><div class="연결"><div class="높임">힘드셔서</div>힘들어서</div></div></div>	il est dur<p class="small">(해요체, registre informel poli)</p>
